實際價格,預測值,CI95下限,CI95上限,CI99下限,CI99上限,CI95長度,CI99長度,是否落在CI95,是否落在CI99,信心分數
5014.0537567949195,6958.402182996124,5563.010059156515,8782.798830932152,5326.817839671904,9408.114592817072,3219.7887717756366,4081.2967531451677,0,0,0.329505492047494
3827.6258214399063,3814.6903940929906,3787.710192861217,3827.6258214399063,3782.6841767459237,3830.719792899768,39.91562857868939,48.03561615384433,1,1,0.5000000001252642
9045.294891440137,12066.204480669308,10354.174370881941,14266.817864947267,9980.082995713177,14447.682529299223,3912.6434940653253,4467.599533586046,0,0,0.16547438287726424
1808.0424144560632,1647.470237874581,1430.7412511898895,2238.50833242656,1391.4414455679103,2418.4776275361664,807.7670812366707,1027.0361819682562,1,1,0.9670915317431161
1958.628965388061,1842.5993180795397,1712.6842715120358,1986.919235689251,1674.7585843427664,1999.8293233632553,274.23496417721526,325.0707390204889,1,1,0.6031606979439601
4628.554984558711,5096.550719230259,3762.256022739485,9172.509532831877,3756.107647270083,9877.87439115731,5410.2535100923915,6121.766743887227,1,1,0.6601216948903808
4402.817694231699,3954.4893899745025,3492.5990563865134,4476.579920316258,3410.8461322277826,4572.955346600096,983.9808639297444,1162.1092143723135,1,1,0.5749630697026199
4359.008926201989,4359.008926201974,4359.008926201974,4359.008926201974,4359.008926201974,4359.008926201974,0.0,0.0,0,0,0.998453859006986
8518.537924569118,9577.285813430743,8904.618402577447,10308.999257115407,8746.607007965067,10618.670903483066,1404.3808545379597,1872.0638955179984,0,0,0.22508847813394528
5166.754427175995,5221.279613645579,5166.754427175922,5548.8186636694145,5166.754427175922,5815.383805709278,382.0642364934929,648.6293785333564,1,1,0.5000000000132785
9414.440378758272,9231.738588842985,8978.547588333447,9577.804970426041,8958.643401842437,9611.048271762818,599.2573820925936,652.4048699203813,1,1,0.7726117300375626
8022.456895351566,5563.102583473688,4792.651826620587,6379.320500255249,4641.330749654612,6481.243583307474,1586.668673634662,1839.912833652862,0,0,0.0
4359.008926201989,4359.014193340937,4359.008926201974,4359.0470676969435,4359.008926201974,4359.236599551223,0.038141494969750056,0.2276733492490166,1,1,0.5000001314961593
6124.179088112683,4568.129330758486,4381.279170382654,4842.174736496161,4275.957915382804,4903.338362001502,460.8955661135069,627.3804466186984,0,0,0.0
11384.408240181616,13757.022409555033,11352.918698705165,16415.206172639613,11104.299091927547,18369.586622566294,5062.287473934448,7265.287530638747,1,1,0.5062204174779735
9228.021969184409,9761.283782681623,9489.810536382935,10048.507787062252,9384.570801266676,10102.156739567296,558.6972506793172,717.5859383006191,0,0,0.031430364351117124
3361.0207450799394,3484.4136072961696,2617.1524193741907,4537.556721797819,2460.7861166698704,4714.620089251892,1920.404302423628,2253.8339725820215,1,1,0.8873498537615664
4865.86607325375,2227.478758659908,1793.4534348179513,3646.8210613856545,1708.4261575685023,4010.324741743128,1853.3676265677032,2301.8985841746257,0,0,0.0
6634.24400627789,5062.928943308962,4532.896818055358,5761.390285725687,4320.566682871,5916.2987136615775,1228.4934676703288,1595.7320307905775,0,0,0.0
13629.611214012439,6688.5077820149645,4898.215752845967,8461.650463404078,4534.430034209759,8842.977984709241,3563.434710558111,4308.547950499483,0,0,0.0
5218.681172451978,5236.036659227331,5192.0929088387575,5298.942928572018,5183.470355562534,5319.67771776928,106.85001973326052,136.20736220674644,1,1,0.7488372363627716
10829.184098589138,9842.433462804016,8380.124582417024,12010.35851802947,7936.443008901556,12198.761832054428,3630.2339356124467,4262.318823152872,1,1,0.8253714334646057
4491.760511548689,5110.9643548033655,3778.598533522789,6529.87937718788,2978.135007647475,8106.5046265591245,2751.280843665091,5128.369618911649,1,1,0.7592108979606297
9136.20161642468,9130.716411527404,9058.21201394758,9219.05971468822,9045.547373879655,9231.712081782622,160.84770074064,186.16470790296626,1,1,0.9848661318634998
4359.008926201989,4732.373048909899,4378.785610473213,5091.156795828482,4175.053130496318,5153.520544499337,712.3711853552695,978.4674140030193,0,1,0.47223823103389073
2392.2748205373778,2483.27047159468,2334.901114569722,2723.4177996743924,2315.9317932054346,3372.594544114345,388.5166851046706,1056.6627509089103,1,1,0.6476737246322436
3714.502382511299,1962.5838170522388,1364.9116769576103,3729.856350627016,1339.4307643944264,3786.5461307360897,2364.944673669406,2447.1153663416635,1,1,0.5064923159901367
1958.628965388061,1815.8528865471974,1689.605563447294,1939.2149194138449,1640.7038140922916,1970.0738888797644,249.609355966551,329.37007478747273,0,1,0.422222282521173
3789.5403081706027,3603.1317609242437,3581.212791440412,3652.0738970526386,3571.845032664784,3697.808650903866,70.86110561222677,125.96361823908182,0,0,0.0
8604.150654023859,9764.645425189248,6891.6779784673,12737.043888773067,6537.130097606527,12884.834800583318,5845.365910305767,6347.704702976791,1,1,0.7929624427000243
5486.2486778004995,6299.733599906107,5701.018315700534,7616.026653200665,5679.5492839124845,8110.852160733103,1915.0083375001313,2431.3028768206186,0,0,0.3878492413384086
3827.6258214399063,2520.618182034736,1805.3946747709838,3658.1054166443773,1547.7331961136124,3801.129275626328,1852.7107418733935,2253.3960795127155,0,0,0.4085014185116661
9798.650979203469,8632.607558001346,8102.667136257757,9274.027819534595,7994.447532687332,9423.919111468527,1171.3606832768373,1429.4715787811956,0,0,0.052125005432329896
13493.994316498814,18393.1542689515,14026.655695127985,24338.3398301984,12866.847062694234,25566.80892560247,10311.684135070416,12699.961862908234,0,1,0.44834390079773145
4402.817694231699,4710.477185712613,4237.536651769649,5126.805419032901,4090.15373306383,5184.68180904545,889.2687672632519,1094.52807598162,1,1,0.6858617423097485
