實際價格,預測值,CI95下限,CI95上限,CI99下限,CI99上限,CI95長度,CI99長度,是否落在CI95,是否落在CI99,信心分數
5014.0537567949195,6977.0728,5580.745114350237,8455.28899004247,5463.892980704125,9070.881319588689,2874.543875692234,3606.9883388845637,0,0,0.3028586857412716
3827.6258214399063,3809.9229,3765.0458205301798,3853.591446295239,3741.7352710653427,3866.45877988534,88.54562576505941,124.72350881999728,1,1,0.7932457095768426
9045.294891440137,11858.41,10397.096953554534,13540.305878882556,10171.34954858188,13865.494235306805,3143.208925328023,3694.144686724925,0,0,0.06992930020901411
1808.0424144560632,1710.4526,1441.8691564715787,2168.9827791529306,1417.3104785641374,2339.865694401389,727.1136226813519,922.5552158372518,1,1,0.9964015986468194
1958.628965388061,1875.4751,1779.6856059579234,1964.517383544108,1731.867286046474,1995.967320464696,184.83177758618467,264.1000344182221,1,1,0.531858256397403
4628.554984558711,4983.8975,3711.364517407085,9478.123823924732,3648.5146880041,9659.8150416597,5766.759306517648,6011.3003536556,1,1,0.6590478149692183
4402.817694231699,4227.561,3813.9053264172985,4748.007236873528,3759.5071544758675,4900.343786963781,934.1019104562297,1140.8366324879134,1,1,0.8695416300717537
4359.008926201989,4347.617,4297.095440043511,4393.41427622206,4281.592739254733,4398.071119671413,96.31883617854874,116.47838041668001,1,1,0.8572027174178123
8518.537924569118,9842.506,9245.842797769239,10652.771303970567,9191.80447233345,10848.36361162284,1406.9285062013278,1656.5591392893912,0,0,0.0
5166.754427175995,5385.179,5219.089619555289,5682.2702563462735,5192.363424598379,5892.65944380348,463.18063679098486,700.2960192051005,0,0,0.38700911001860316
9414.440378758272,9406.862,9120.272586608377,9826.762865763178,8975.771486825832,10067.727712560207,706.4902791548011,1091.956225734375,1,1,0.9163791078663605
8022.456895351566,5573.493,4852.914832350836,6318.259356153456,4698.537508241953,6424.570874236849,1465.3445238026197,1726.0333659948956,0,0,0.0
4359.008926201989,4356.2124,4277.422736043302,4441.820057305575,4229.256444162779,4487.840517089773,164.39732126227227,258.58407292699394,1,1,0.9962744498042367
6124.179088112683,4568.355,4392.7076039804015,4817.508106727535,4271.757369002663,4878.027883700441,424.8005027471336,606.2705146977778,0,0,0.0
11384.408240181616,14127.38,12437.601921302254,16728.67950130505,11853.343144261058,17568.55195039052,4291.077580002797,5715.208806129462,0,0,0.2545619575788476
9228.021969184409,9685.967,9442.799248484025,9950.145327618633,9377.857734213063,9995.46844301057,507.34607913460786,617.610708797507,0,0,0.07666514412265912
3361.0207450799394,3090.7913,2538.7768158953545,3841.6175951495206,2381.857130619334,4146.399639179668,1302.8407792541661,1764.5425085603342,1,1,0.8688837943390278
4865.86607325375,2328.4182,1845.1806767853086,4189.04087832323,1832.8542535023437,4518.261190159387,2343.860201537921,2685.406936657044,0,0,0.21123482770920599
6634.24400627789,5428.1143,4933.743321752879,6002.650312312954,4923.427418287827,6169.979563827435,1068.9069905600754,1246.5521455396083,0,0,0.0
13629.611214012439,7799.589,5541.12338150146,10234.458809373029,5123.913318498568,11191.391413001777,4693.335427871569,6067.478094503209,0,0,0.0
5218.681172451978,5237.2354,5143.9241369856845,5324.79798392297,5092.217383071718,5330.158658950301,180.87384693728563,237.94127587858293,1,1,0.9133103637314709
10829.184098589138,9815.463,8482.583253577603,11726.902625960445,8389.137579507633,11854.304664448082,3244.3193723828426,3465.167084940449,1,1,0.776704733515245
4491.760511548689,7228.488,4400.935687282692,11363.846106192867,2991.6730801992394,13690.17842423836,6962.9104189101745,10698.50534403912,1,1,0.513044089153323
9136.20161642468,9016.062,8727.933929014953,9214.784215065742,8646.396128388276,9328.316439381675,486.8502860507888,681.9203109933987,1,1,0.6614101930223593
4359.008926201989,4662.169,4368.134806164452,4953.408084092886,4221.6008146533295,5033.640236605833,585.2732779284343,812.0394219525033,0,1,0.48440748911413156
2392.2748205373778,2517.4153,2376.3360834508253,2822.104765990359,2357.996008940365,3323.8378236094964,445.76868253953353,965.8418146691315,1,1,0.5357556232985963
3714.502382511299,1998.5302,1409.426318204042,3680.5817791933905,1359.64313471764,3788.333518967903,2271.1554609893483,2428.690384250263,0,1,0.48506460526573425
1958.628965388061,1828.3425,1718.2864574701305,1925.5478398786797,1689.9496567918081,1944.861662501577,207.26138240854925,254.9120057097689,0,0,0.34038934258589293
3789.5403081706027,3617.4558,3523.7124923884808,3736.5487606739707,3514.227204200563,3807.9768453060587,212.83626828548995,293.7496411054958,0,1,0.2510220043039788
8604.150654023859,9288.212,6753.539087210181,12028.189534224894,6416.544627012911,12547.293996437405,5274.650447014713,6130.749369424494,1,1,0.8508500867318245
5486.2486778004995,6159.4707,5555.974520750592,7026.4202987148055,5487.332089918735,7360.542841583321,1470.4457779642134,1873.2107516645865,0,0,0.45258183335318136
3827.6258214399063,2622.0488,2140.8533122631616,3253.8060448244673,2005.680965853422,3359.8195100116222,1112.9527325613058,1354.1385441582001,0,0,0.0
9798.650979203469,8764.13,8268.307904690919,9419.890443102784,8188.0639221784595,9571.111359277964,1151.5825384118652,1383.0474370995044,0,0,0.1710956241011261
13493.994316498814,17227.463,13860.008103850674,22067.71461236671,13173.0689619117,23008.782995549795,8207.706508516038,9835.714033638094,0,1,0.4554060824462167
4402.817694231699,4646.217,4312.78103312749,4988.192608178111,4138.1209954967635,5033.342857301672,675.4115750506207,895.2218618049083,1,1,0.6333063637547625
3294.4680752838403,3366.888,3101.291694638122,3825.3124990021283,3001.431536366779,4080.520978075292,724.0208043640064,1079.0894417085133,1,1,0.766810538431613
