出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,9,21319,22169.639,22024.96,21677.55781317638,22336.153836235408,BKK
早晨班機,TPE,上午抵達,1,1,2,0,245,-1.882734,0.4139873,7,22757,25890.023,26320.078,24175.304410605735,29667.601494511764,BKK
下午班機,TPE,下午抵達,2,1,0,0,235,-1.882734,0.4139873,7,19609,19322.969,19277.154,18925.624148832885,19560.2605340602,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,24269,23001.404,22874.086,22076.07128133296,23865.693786647826,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,6,23705,22524.273,22395.836,21398.15818361261,23823.120835170044,BKK
下午班機,TPE,下午抵達,5,1,0,1,240,-1.882734,0.4139873,7,20317,20447.229,20353.955,20077.47714116195,20668.360406632255,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,7,21364,20867.582,20564.492,19419.144102062677,21438.765383593032,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16596,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
下午班機,TPE,下午抵達,5,0,0,1,240,-1.882734,0.4139873,7,20608,21490.512,21288.375,20850.50671221417,21900.453444799597,BKK
上午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,6,21918,22897.506,22682.871,22009.579905489536,23607.928825243816,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,7,21409,20846.797,20362.596,19172.731819309964,21878.791442942034,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,6,20772,21458.623,21237.516,20883.74701289102,21760.502120790487,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,9,23127,22092.746,22049.678,21525.259111627758,22618.335084980543,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,4,25374,21472.135,21330.666,20878.195320426476,21977.225731476618,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,17890,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
下午班機,TPE,下午抵達,5,1,0,1,240,-1.882734,0.4139873,7,20145,20447.229,20353.955,20077.47714116195,20668.360406632255,BKK
晚間班機,TPE,凌晨抵達,1,1,2,0,235,-1.882734,0.4139873,8,20975,22214.0,22370.668,20615.485113109266,24560.21882404116,BKK
晚間班機,TPE,凌晨抵達,1,1,0,0,235,-1.882734,0.4139873,9,21153,22026.895,22102.799,21099.561383533655,22703.116872561208,BKK
上午班機,TPE,下午抵達,1,1,1,1,235,-1.882734,0.4139873,6,23573,23911.012,23763.242,22789.095032507983,24675.031467554403,BKK
晚間班機,TPE,凌晨抵達,2,0,0,0,245,-1.882734,0.4139873,9,19201,19440.828,19400.914,19009.40368403224,19989.980010688807,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,20307,20763.062,20635.85,20319.811461768695,21001.655587704165,BKK
下午班機,TPE,下午抵達,5,1,1,1,240,-1.882734,0.4139873,7,23068,21486.885,21809.29,20275.275038282012,22652.95303296171,BKK
下午班機,TPE,下午抵達,1,1,2,0,235,-1.882734,0.4139873,7,16670,21562.49,21166.762,19861.08594485804,23752.4686368078,BKK
早晨班機,TPE,上午抵達,2,1,0,0,230,-1.882734,0.4139873,6,20755,21271.914,21191.385,20755.915584627743,21927.315254965237,BKK
上午班機,TPE,下午抵達,1,1,0,0,235,-1.882734,0.4139873,6,21310,22897.506,22682.871,22009.579905489536,23607.928825243816,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,6,21711,22537.016,22252.613,21666.95604936544,22781.983583335015,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,7,22293,23479.705,23640.633,22494.907787189284,24616.166590709367,BKK
早晨班機,TPE,上午抵達,1,1,0,0,245,-1.882734,0.4139873,9,21310,22548.775,22365.676,21952.709845709112,23066.931333156583,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,19444,19370.334,19290.69,19004.8908225549,19472.879119282,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,8,19532,19600.602,19476.256,19120.630103933156,20006.821870479533,BKK
上午班機,TPE,下午抵達,2,1,0,0,240,-1.882734,0.4139873,6,20861,22427.812,22342.012,21577.287559548316,23778.95067198647,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,16542,17353.17,17386.467,17149.806324439134,17685.852553805245,BKK
上午班機,TPE,下午抵達,5,1,0,1,250,-1.882734,0.4139873,6,22145,22524.273,22395.836,21398.15818361261,23823.120835170044,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,5,20822,22073.727,21911.531,21377.713700676475,22424.466510465885,BKK
早晨班機,TPE,上午抵達,1,1,1,1,245,-1.882734,0.4139873,7,24868,24808.889,24821.574,22893.047608394325,25935.646994770057,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,9,21296,21626.645,21610.975,21332.193294151195,21999.034492800372,BKK
晚間班機,TPE,凌晨抵達,2,0,0,0,245,-1.882734,0.4139873,8,20188,19459.973,19397.805,19109.21835093396,19806.432268608096,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,4,22215,21980.81,21824.936,21431.099296879325,22306.020143124402,BKK
晚間班機,TPE,晚間抵達,1,1,2,1,235,-1.882734,0.4139873,8,21900,20383.95,20375.242,17829.905464584375,24073.263847978276,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,7,22719,20867.582,20564.492,19419.144102062677,21438.765383593032,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,9,21298,19536.346,19581.04,18714.095512965327,20362.87695676936,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,22388,22928.559,22802.773,21952.14142195548,23598.852992698103,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,7,17132,20867.582,20564.492,19419.144102062677,21438.765383593032,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,7,21297,22284.277,22155.666,21613.561662706798,22896.193481010912,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,8,20822,20679.527,20575.674,20304.96206783206,20878.53581758759,BKK
上午班機,TPE,下午抵達,2,1,0,1,240,-1.882734,0.4139873,6,21091,22537.016,22252.613,21666.95604936544,22781.983583335015,BKK
晚間班機,TPE,凌晨抵達,2,0,1,1,245,-1.882734,0.4139873,8,19156,20325.75,20349.723,19296.5487554432,21798.53424640493,BKK
早晨班機,TPE,上午抵達,1,1,2,1,245,-1.882734,0.4139873,7,30305,27399.592,27051.559,24917.87204149155,29071.42485544712,BKK
晚間班機,TPE,晚間抵達,1,1,0,1,235,-1.882734,0.4139873,8,16675,20181.072,20080.736,19422.23541829927,20861.55755197752,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,7,20427,20899.51,20761.953,20565.207405403627,20953.5293840782,BKK
