出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,下午抵達,4,0,0,0,145,-0.059982,1.5913391,12,6457,6468.8677,6192.9717,5671.746434551284,6668.5027998237465,ICN
下午班機,TPE,下午抵達,4,0,0,0,145,-0.059982,1.5913391,8,5577,5712.805,5657.537,5220.1970654156175,6230.861169404964,ICN
下午班機,TPE,下午抵達,1,2,1,0,140,-0.059982,1.5913391,12,13312,13757.489,13566.757,10156.846010529884,17702.62130804095,ICN
早晨班機,TPE,上午抵達,2,1,0,0,145,-0.059982,1.5913391,4,7048,9159.734,9012.921,8388.323593312189,9680.963960195377,ICN
晚間班機,TPE,晚間抵達,4,1,0,1,145,-0.059982,1.5913391,4,4481,3928.3447,3878.354,3688.7631106121835,4098.596593607604,ICN
晚間班機,TPE,晚間抵達,4,1,0,1,145,-0.059982,1.5913391,4,3820,3928.3447,3878.354,3688.7631106121835,4098.596593607604,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,2,9855,10147.6,9523.23,8288.795349930664,12116.891586333595,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,6130,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,6754,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,7,6972,8102.942,7690.5376,7083.479558519753,8487.895101232198,ICN
早晨班機,TPE,上午抵達,2,1,0,1,145,-0.059982,1.5913391,4,8465,9305.051,8995.161,8582.800890855302,9430.397253473871,ICN
下午班機,TPE,晚間抵達,2,1,1,1,150,-0.059982,1.5913391,12,9654,11656.484,11200.436,9141.128830845308,14533.75063996918,ICN
下午班機,TPE,下午抵達,6,1,0,1,145,-0.059982,1.5913391,8,5566,6725.796,6547.761,6151.712574581342,6937.627823291375,ICN
早晨班機,TPE,上午抵達,2,1,2,1,145,-0.059982,1.5913391,4,15064,16553.98,16430.24,14344.134238002769,17783.75793307917,ICN
晚間班機,TPE,晚間抵達,4,0,2,1,150,-0.059982,1.5913391,4,7463,7922.8804,7991.3677,7240.396863000629,8637.593020606722,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,12,6690,7691.953,7564.5205,7088.395279031623,8268.754584548125,ICN
晚間班機,TPE,晚間抵達,2,0,0,1,150,-0.059982,1.5913391,4,12477,7013.434,7199.4644,6332.016895452961,8212.57230666193,ICN
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,3,3970,4196.523,4033.0361,3822.2080318734015,4337.742100441698,ICN
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,4,3488,4249.7583,4129.693,3900.3628160479366,4328.670174513167,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,7466,8253.396,8058.4478,7575.397973090894,8589.727530102651,ICN
晚間班機,TPE,晚間抵達,4,1,0,0,145,-0.059982,1.5913391,4,4519,4188.3047,4137.753,3855.63202095671,4543.765781295513,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,8,8062,8007.6113,7722.3794,7175.600591770604,8711.97924648067,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,15830,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
下午班機,TPE,下午抵達,6,1,0,1,145,-0.059982,1.5913391,12,8606,6966.458,6885.409,6388.404709220385,7244.151556612333,ICN
晚間班機,TPE,晚間抵達,2,1,2,0,150,-0.059982,1.5913391,4,13107,14653.219,14202.545,12419.883818369646,15838.722796725215,ICN
下午班機,TPE,下午抵達,1,2,2,1,140,-0.059982,1.5913391,12,14281,14882.584,15006.257,12105.186153027618,16715.715705510014,ICN
