出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
早晨班機,TPE,下午抵達,2,1,0,0,285,2.1585612,1.0416285,7,5889,6173.521,5848.957,5307.242432792337,6292.360461100842,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,10268,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
早晨班機,TPE,下午抵達,1,1,0,0,280,2.1585612,1.0416285,7,6083,6257.217,6058.433,5590.772710710354,6621.1998198263955,SIN
凌晨班機,TPE,早晨抵達,4,1,2,1,285,2.1585612,1.0416285,2,8395,6758.87,6503.333,5506.401323121543,7972.350999723827,SIN
凌晨班機,TPE,凌晨抵達,4,0,2,0,285,2.1585612,1.0416285,2,6134,6854.919,6785.2563,5620.404268423797,8180.137294073145,SIN
早晨班機,TPE,下午抵達,5,0,0,1,300,2.1585612,1.0416285,8,5834,5973.1387,5634.5034,5285.068517469971,6208.178557586522,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,9891,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
晚間班機,TPE,凌晨抵達,2,1,0,0,285,2.1585612,1.0416285,3,5579,5794.7754,5704.235,5510.129330498671,5959.31765781704,SIN
早晨班機,TPE,下午抵達,5,0,0,0,300,2.1585612,1.0416285,8,6076,6100.7944,5714.582,5199.6965958131095,6363.7824891129185,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,1,275,2.1585612,1.0416285,1,3740,3310.8992,3201.4717,2804.8415406158438,4316.9549833323845,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,6,5862,6126.4404,5923.0137,5444.667341210113,6684.1739781001215,SIN
晚間班機,TPE,凌晨抵達,4,1,0,1,285,2.1585612,1.0416285,3,2774,3115.5925,3062.2864,2803.2388579293543,3368.1863584726775,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,7,5619,6354.969,6030.2812,5599.883762012621,6699.81727550047,SIN
凌晨班機,TPE,早晨抵達,4,1,0,0,285,2.1585612,1.0416285,2,3616,3032.6416,2987.0195,2759.9922003290635,3262.9203673959128,SIN
早晨班機,TPE,下午抵達,5,0,2,1,280,2.1585612,1.0416285,6,17437,11339.265,11688.87,9556.268599163333,14100.846922273036,SIN
下午班機,TPE,晚間抵達,4,1,0,1,285,2.1585612,1.0416285,5,4267,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
晚間班機,TPE,凌晨抵達,4,1,0,1,285,2.1585612,1.0416285,3,2570,3115.5925,3062.2864,2803.2388579293543,3368.1863584726775,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,8,5658,6047.2964,5744.317,5320.505077991078,6234.792029934991,SIN
上午班機,TPE,下午抵達,1,1,2,1,295,2.1585612,1.0416285,2,15531,11047.543,11000.922,8922.611134417559,13026.160387219303,SIN
下午班機,TPE,晚間抵達,1,1,0,0,290,2.1585612,1.0416285,7,9457,9335.685,9433.12,8446.173857723887,10148.385519901482,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,9349,7444.4014,7300.074,5933.320128942401,9590.692648341674,SIN
晚間班機,TPE,凌晨抵達,2,1,1,1,285,2.1585612,1.0416285,2,5531,8389.904,8685.379,6614.019291669998,10397.96568695776,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,3,5505,5636.4385,5542.5425,5194.839158248266,5827.155295497853,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,2,2579,3031.5278,2932.0693,2756.0587696700036,3261.904067908738,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,6115,6282.4478,6153.0454,5515.832350153673,6748.232935999892,SIN
下午班機,TPE,晚間抵達,1,1,0,1,290,2.1585612,1.0416285,7,9245,9166.062,9243.283,7500.802488772428,10908.972841812578,SIN
早晨班機,TPE,下午抵達,5,0,0,1,300,2.1585612,1.0416285,8,5501,5973.1387,5634.5034,5285.068517469971,6208.178557586522,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,7,6083,6354.969,6030.2812,5599.883762012621,6699.81727550047,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,6105,6282.4478,6153.0454,5515.832350153673,6748.232935999892,SIN
早晨班機,TPE,下午抵達,1,1,1,1,280,2.1585612,1.0416285,7,10029,8361.121,7948.176,6839.214986900856,8917.613419190286,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,7,11465,7850.7935,7596.696,6325.525200822804,8947.221456378098,SIN
下午班機,TPE,晚間抵達,1,1,0,1,290,2.1585612,1.0416285,7,8143,9166.062,9243.283,7500.802488772428,10908.972841812578,SIN
下午班機,TPE,晚間抵達,1,1,2,0,285,2.1585612,1.0416285,5,12892,10506.362,9826.621,7155.421009357224,13853.504588292926,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,6097,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
上午班機,TPE,下午抵達,1,1,0,0,295,2.1585612,1.0416285,2,6188,6458.165,6261.486,5561.581018718899,6781.630014822583,SIN
早晨班機,TPE,下午抵達,2,1,2,1,285,2.1585612,1.0416285,6,15884,9902.52,10023.483,8369.679947961606,11648.314709542548,SIN
早晨班機,TPE,下午抵達,2,1,0,0,285,2.1585612,1.0416285,6,5897,5738.227,5676.088,5194.7401803023295,6193.988887584215,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,2,5554,6322.629,6140.1064,5555.504140082582,7266.276197677313,SIN
早晨班機,TPE,下午抵達,1,1,2,1,280,2.1585612,1.0416285,6,10807,9696.825,10573.14,8990.199940529728,12415.752506756948,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,7560,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
晚間班機,TPE,凌晨抵達,2,1,0,0,285,2.1585612,1.0416285,3,5534,5794.7754,5704.235,5510.129330498671,5959.31765781704,SIN
下午班機,TPE,晚間抵達,4,1,0,0,285,2.1585612,1.0416285,7,4229,7850.7935,7596.696,6325.525200822804,8947.221456378098,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,6095,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
晚間班機,TPE,凌晨抵達,2,1,0,0,285,2.1585612,1.0416285,3,5518,5794.7754,5704.235,5510.129330498671,5959.31765781704,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,8,6097,5945.309,5832.528,5382.383296041848,6281.515830934324,SIN
上午班機,TPE,下午抵達,1,1,2,0,295,2.1585612,1.0416285,1,18116,12186.172,12113.713,8565.172133460788,15242.12462012387,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,2,5699,6322.629,6140.1064,5555.504140082582,7266.276197677313,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,8,6098,5945.309,5832.528,5382.383296041848,6281.515830934324,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,1,4183,3565.906,3491.526,3063.438030800782,3998.872227155133,SIN
凌晨班機,TPE,凌晨抵達,4,0,2,0,275,2.1585612,1.0416285,2,13939,8202.825,7894.247,5963.140229882326,10611.418332193209,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,1,285,2.1585612,1.0416285,2,2929,3062.7947,3030.2324,2804.5318270296825,3275.4276662456878,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,7632,6282.4478,6153.0454,5515.832350153673,6748.232935999892,SIN
下午班機,TPE,晚間抵達,1,1,2,1,285,2.1585612,1.0416285,5,10664,8732.468,8588.077,7148.064655588707,10243.86618028789,SIN
