出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
凌晨班機,TPE,凌晨抵達,4,0,2,1,285,2.1585612,1.0416285,2,7086,6861.748,6536.3423,5811.139127204892,7418.167641233916,SIN
早晨班機,TPE,下午抵達,2,1,2,1,285,2.1585612,1.0416285,6,12022,9902.52,10023.483,8369.679947961606,11648.314709542548,SIN
上午班機,TPE,下午抵達,1,1,2,1,295,2.1585612,1.0416285,2,17438,11047.543,11000.922,8922.611134417559,13026.160387219303,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,8,6102,5945.309,5832.528,5382.383296041848,6281.515830934324,SIN
上午班機,TPE,下午抵達,1,1,1,1,295,2.1585612,1.0416285,2,10902,7453.9224,7639.8867,6171.207087576735,8940.3037366648,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,2,5564,6322.629,6140.1064,5555.504140082582,7266.276197677313,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,8207,7444.4014,7300.074,5933.320128942401,9590.692648341674,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,6114,6282.4478,6153.0454,5515.832350153673,6748.232935999892,SIN
下午班機,TPE,晚間抵達,4,1,2,1,285,2.1585612,1.0416285,3,7855,12994.665,12209.987,8307.507444141671,14389.617529037097,SIN
下午班機,TPE,晚間抵達,4,1,0,1,285,2.1585612,1.0416285,5,3503,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
早晨班機,TPE,下午抵達,1,1,0,0,280,2.1585612,1.0416285,6,6093,6117.623,5890.14,5407.393968196227,6466.732639639093,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,1,3223,3565.906,3491.526,3063.438030800782,3998.872227155133,SIN
下午班機,TPE,晚間抵達,1,1,2,1,285,2.1585612,1.0416285,5,10599,8732.468,8588.077,7148.064655588707,10243.86618028789,SIN
凌晨班機,TPE,早晨抵達,4,1,1,1,285,2.1585612,1.0416285,1,4783,4600.2705,4424.5728,3730.1562551151774,5551.502380261261,SIN
早晨班機,TPE,下午抵達,2,1,2,0,285,2.1585612,1.0416285,5,20680,12562.87,11460.975,9661.419668843808,14966.153605130949,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,6116,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,8,5883,5785.977,5590.493,5207.015418772619,6065.145290654126,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,7,9255,7850.7935,7596.696,6325.525200822804,8947.221456378098,SIN
早晨班機,TPE,下午抵達,2,1,2,1,285,2.1585612,1.0416285,6,16023,9902.52,10023.483,8369.679947961606,11648.314709542548,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,6152,6282.4478,6153.0454,5515.832350153673,6748.232935999892,SIN
