出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,8,22979,23548.037,23454.773,22328.104056349264,25025.63930717219,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,6,18769,19136.217,19191.451,18768.1684609097,19609.246559369785,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,23801,23863.262,23914.432,22625.641985553844,25201.71540127351,SIN
早晨班機,TPE,下午抵達,5,0,2,1,280,2.1585612,1.0416285,6,32066,32028.71,31400.064,29793.60554038165,33216.824526074044,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,21973,23863.262,23914.432,22625.641985553844,25201.71540127351,SIN
上午班機,TPE,下午抵達,1,1,2,1,295,2.1585612,1.0416285,2,24118,28863.965,28094.49,25577.8578082415,31054.303725105827,SIN
下午班機,TPE,晚間抵達,1,1,2,0,285,2.1585612,1.0416285,5,30500,32380.625,32066.03,30176.25211998949,34805.25148360911,SIN
早晨班機,TPE,下午抵達,5,0,0,0,280,2.1585612,1.0416285,7,24335,24552.348,24435.5,23262.542187962103,25947.86159586623,SIN
下午班機,TPE,晚間抵達,1,1,0,0,290,2.1585612,1.0416285,7,21245,22401.797,22553.1,21564.540789039052,24019.160418419342,SIN
上午班機,TPE,下午抵達,1,1,2,1,295,2.1585612,1.0416285,2,30394,28863.965,28094.49,25577.8578082415,31054.303725105827,SIN
上午班機,TPE,下午抵達,1,1,2,1,295,2.1585612,1.0416285,2,33871,28863.965,28094.49,25577.8578082415,31054.303725105827,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,23446,23863.262,23914.432,22625.641985553844,25201.71540127351,SIN
晚間班機,TPE,凌晨抵達,2,1,0,0,285,2.1585612,1.0416285,3,18744,18867.842,18793.438,18595.994887282515,19026.7322713852,SIN
晚間班機,TPE,凌晨抵達,2,1,0,1,285,2.1585612,1.0416285,2,18742,18684.33,18579.207,18434.20193252682,18720.0130954297,SIN
早晨班機,TPE,下午抵達,2,1,1,1,285,2.1585612,1.0416285,7,20732,21514.033,21461.242,20413.45920849827,23258.64889838815,SIN
下午班機,TPE,晚間抵達,1,1,0,0,285,2.1585612,1.0416285,7,21010,24664.932,24597.7,23383.088500001046,25670.046476087522,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,20788,23863.262,23914.432,22625.641985553844,25201.71540127351,SIN
上午班機,TPE,下午抵達,1,1,0,0,295,2.1585612,1.0416285,2,21609,21896.344,21616.809,20796.905628755463,22557.80575507434,SIN
早晨班機,TPE,下午抵達,5,0,0,0,280,2.1585612,1.0416285,7,26661,24552.348,24435.5,23262.542187962103,25947.86159586623,SIN
下午班機,TPE,晚間抵達,1,1,0,1,290,2.1585612,1.0416285,7,24933,21271.123,21290.363,20502.22224764543,23567.959326956414,SIN
早晨班機,TPE,下午抵達,1,1,0,0,280,2.1585612,1.0416285,8,21055,21103.53,20918.035,20310.579258359045,21629.989965560424,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,7,24021,25006.312,24880.873,23566.44160889301,26695.400213670844,SIN
下午班機,TPE,晚間抵達,1,1,0,1,290,2.1585612,1.0416285,7,21125,21271.123,21290.363,20502.22224764543,23567.959326956414,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,24057,26903.9,26833.637,26155.215977225394,27520.476931063306,SIN
早晨班機,TPE,下午抵達,1,1,0,0,280,2.1585612,1.0416285,7,20785,21228.504,21177.605,20576.373929018064,21760.28369250265,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,7,28578,23863.262,23914.432,22625.641985553844,25201.71540127351,SIN
早晨班機,TPE,下午抵達,5,0,0,1,280,2.1585612,1.0416285,6,27002,25581.7,25816.252,24549.969710481375,26750.46509066545,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,22413,21273.8,21031.479,20428.22818465854,21766.39480465969,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,8,18754,18895.484,19031.254,18758.360213296753,19485.613279020257,SIN
