出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,下界,上界,抵達機場代號
晚間班機,TPE,凌晨抵達,1,1,0,0,235,-1.882734,0.4139873,9,5845,6026.584,5890.3027,5666.42229528479,6194.416493970941,BKK
晚間班機,TPE,凌晨抵達,6,0,0,1,240,-1.882734,0.4139873,9,3884,3966.0388,3874.3604,3768.424531787075,4004.5715401574203,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,7,10130,8539.698,8418.906,7652.474711059048,9276.741520116564,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,6031,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
晚間班機,TPE,凌晨抵達,2,0,0,1,245,-1.882734,0.4139873,8,5401,7720.8843,7067.08,5827.506581923644,8582.103868446122,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,9,11032,7970.2363,7728.569,7001.248544227995,8836.40113512339,BKK
晚間班機,TPE,凌晨抵達,6,0,0,0,240,-1.882734,0.4139873,8,4305,3726.0435,3663.3687,3356.6126716439057,3885.0347129531474,BKK
下午班機,TPE,下午抵達,2,1,0,0,235,-1.882734,0.4139873,7,6287,7150.5806,6919.7104,6152.350278180955,7885.272630290434,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,6,6095,7953.9316,7439.085,6763.886938747381,8083.832745324826,BKK
晚間班機,TPE,凌晨抵達,1,1,0,1,235,-1.882734,0.4139873,9,5826,6242.3315,5937.517,5779.319606228523,6121.040855733118,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,9281,7697.2153,7397.714,6834.235579785275,8194.402080947884,BKK
下午班機,TPE,下午抵達,2,1,2,0,235,-1.882734,0.4139873,7,16689,12748.667,12400.13,10163.121186334625,14521.512350874904,BKK
早晨班機,TPE,上午抵達,1,1,0,1,245,-1.882734,0.4139873,9,5874,7970.2363,7728.569,7001.248544227995,8836.40113512339,BKK
凌晨班機,TPE,凌晨抵達,6,0,0,1,240,-1.882734,0.4139873,1,3668,4079.1208,4009.6902,3706.2807558559225,4555.368772025359,BKK
下午班機,TPE,晚間抵達,6,0,0,1,235,-1.882734,0.4139873,7,4464,4899.6157,4789.3945,4486.794144198556,5034.993560770582,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,5967,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,6298,8351.518,7675.6763,6702.029197252429,9499.869578502621,BKK
早晨班機,TPE,上午抵達,1,0,0,0,235,-1.882734,0.4139873,9,6218,6259.0674,6223.272,5952.245593822677,6625.914538836099,BKK
早晨班機,TPE,上午抵達,1,0,1,1,235,-1.882734,0.4139873,7,8536,8022.4727,8215.775,7379.816703911081,9211.663279091972,BKK
上午班機,TPE,下午抵達,2,1,1,1,240,-1.882734,0.4139873,6,8826,13993.226,14052.956,11318.294382935717,15377.732809845955,BKK
早晨班機,TPE,上午抵達,1,0,0,1,235,-1.882734,0.4139873,7,6322,6453.288,6278.3564,5960.893526862851,6615.5369932244785,BKK
晚間班機,TPE,凌晨抵達,6,0,0,0,240,-1.882734,0.4139873,8,3911,3726.0435,3663.3687,3356.6126716439057,3885.0347129531474,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,7,5860,7697.2153,7397.714,6834.235579785275,8194.402080947884,BKK
晚間班機,TPE,凌晨抵達,6,0,2,0,240,-1.882734,0.4139873,4,11056,9522.477,9380.222,7328.686185410784,10958.26152220606,BKK
晚間班機,TPE,凌晨抵達,2,0,0,0,245,-1.882734,0.4139873,9,5243,5643.233,5621.2227,5122.306005872528,6137.948324593682,BKK
晚間班機,TPE,凌晨抵達,6,0,0,1,240,-1.882734,0.4139873,9,3679,3966.0388,3874.3604,3768.424531787075,4004.5715401574203,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,8,6201,7438.028,6968.877,6411.495269344903,8231.651907592746,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,7,6622,7889.9937,7608.131,7007.190857822753,8701.399569908463,BKK
下午班機,TPE,下午抵達,2,1,0,1,235,-1.882734,0.4139873,6,5509,9175.552,8455.206,6971.691433515504,9636.794366440212,BKK
早晨班機,TPE,上午抵達,1,1,0,1,250,-1.882734,0.4139873,9,11570,8152.9985,7990.5366,7033.224496436708,9297.987159667824,BKK
下午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,7,6306,6263.654,6173.727,5985.38340602306,6391.251880420696,BKK
下午班機,TPE,晚間抵達,6,0,1,1,235,-1.882734,0.4139873,7,5277,5709.5366,5543.859,5003.099532966309,6785.520105792507,BKK
凌晨班機,TPE,凌晨抵達,6,0,2,0,240,-1.882734,0.4139873,1,11517,10346.145,9465.944,7866.31242934596,11158.972191861483,BKK
下午班機,TPE,下午抵達,2,1,2,0,235,-1.882734,0.4139873,3,17600,16392.002,17426.86,14850.790106095741,20935.83121852526,BKK
晚間班機,TPE,晚間抵達,1,1,0,0,235,-1.882734,0.4139873,8,6158,6517.5845,6349.098,6052.601370746311,6708.370845154429,BKK
上午班機,TPE,下午抵達,1,1,0,1,235,-1.882734,0.4139873,6,7952,7971.2554,7625.5303,6993.034917328869,8341.229644031151,BKK
早晨班機,TPE,上午抵達,2,1,0,1,230,-1.882734,0.4139873,9,12423,8351.518,7675.6763,6702.029197252429,9499.869578502621,BKK
下午班機,TPE,晚間抵達,6,0,0,0,235,-1.882734,0.4139873,7,4067,4827.9424,4707.2666,4430.6245908752835,4967.392833005406,BKK
晚間班機,TPE,凌晨抵達,6,0,2,0,240,-1.882734,0.4139873,8,6905,5831.999,5708.943,4671.266731281025,7024.35024382545,BKK
下午班機,TPE,下午抵達,5,1,2,0,240,-1.882734,0.4139873,7,10545,11530.289,11161.9375,9037.844444074306,13465.119435032015,BKK
晚間班機,TPE,晚間抵達,1,1,2,1,235,-1.882734,0.4139873,8,13124,11254.92,11046.668,9589.656538130306,12031.28594339614,BKK
晚間班機,TPE,晚間抵達,1,1,2,1,235,-1.882734,0.4139873,5,13351,14616.816,13979.353,12940.986948585381,15568.4764155783,BKK
