出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,凌晨抵達,1,0,3,1,1,0,2,0,125,1025,-1.262158,1.0504261,101,33512.0,41610.875,33446.72,28058.195323632932,39449.92832283159,LHR
下午班機,TPE,下午抵達,1,1,2,1,1,0,2,1,1130,1035,-1.262158,1.0504261,109,27107.0,30387.088,27092.12,24343.90502768989,30672.873023544515,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,735,1010,-1.262158,1.0504261,112,17321.0,20440.62,18878.3,16809.08691686506,23661.838265740866,LHR
下午班機,TPE,早晨抵達,1,0,3,1,1,0,2,0,505,1045,-1.262158,1.0504261,107,66022.0,56603.668,61683.68,51577.33851492431,76988.34830451266,LHR
晚間班機,TPE,晚間抵達,1,1,3,1,1,2,2,1,955,1005,-1.262158,1.0504261,95,29463.0,28680.992,28296.326,24329.754830090296,33035.85492189206,LHR
上午班機,TPE,下午抵達,1,1,1,1,1,0,1,1,650,1320,-1.262158,1.0504261,34,101804.0,101872.73,97484.16,85311.55304866392,108985.72410818501,LHR
下午班機,TSA,下午抵達,1,1,2,1,1,2,2,1,1120,815,-1.262158,1.0504261,63,28487.0,51346.75,44135.68,33550.39931604379,71023.13529869259,LHR
凌晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,460,1150,-1.262158,1.0504261,2,33515.0,38218.777,31269.232,26355.67412836615,35635.19640219698,LHR
上午班機,TPE,下午抵達,1,1,1,1,1,0,1,1,1140,1030,-1.262158,1.0504261,35,20776.0,24401.824,22550.818,20093.54901728191,25891.84968266556,LHR
上午班機,TPE,早晨抵達,1,1,3,1,1,2,2,1,620,1050,-1.262158,1.0504261,30,50824.0,51028.95,41419.44,35127.401326097926,50242.4805839166,LHR
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,75,1010,-1.262158,1.0504261,109,18870.0,22182.984,20778.414,17739.123847543393,26200.154657874427,LHR
下午班機,TSA,下午抵達,1,0,2,1,1,0,2,0,1260,830,-1.262158,1.0504261,63,76962.0,124195.94,115613.555,78858.00228888464,171291.1300922512,LHR
下午班機,TSA,下午抵達,1,0,3,1,1,0,2,0,810,1035,-1.262158,1.0504261,104,163143.0,109626.45,101119.76,68336.54283684342,148405.10723127757,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,545,1015,-1.262158,1.0504261,113,21412.0,26124.738,22918.83,20264.71255736914,26607.98845968346,LHR
上午班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,170,1020,-1.262158,1.0504261,41,21059.0,24814.875,21404.785,19174.990668198745,24580.90571167622,LHR
早晨班機,TSA,下午抵達,1,0,3,1,1,2,2,1,1365,1035,-1.262158,1.0504261,34,159328.0,142711.38,130252.63,72082.96546033032,158830.363497085,LHR
晚間班機,TPE,上午抵達,1,0,2,1,1,0,1,1,220,1025,-1.262158,1.0504261,115,24188.0,34993.156,28731.64,25008.39697514811,33906.43106720439,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,780,1055,-1.262158,1.0504261,101,32519.0,37714.613,31336.793,28445.60856127979,35457.93034328008,LHR
上午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,635,1020,-1.262158,1.0504261,32,17458.0,25660.674,21938.045,18871.01703952339,28492.73908872657,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,830,1025,-1.262158,1.0504261,112,29485.0,25286.303,21929.803,19657.412692894584,25319.30097410576,LHR
晚間班機,TPE,凌晨抵達,1,1,3,1,1,2,2,1,70,1000,-1.262158,1.0504261,65,26589.0,46553.535,43732.355,26669.303447957063,62166.4886731462,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,2,2,1,855,1015,-1.262158,1.0504261,98,19165.0,25247.074,23867.016,21052.790448735726,27548.35106806358,LHR
上午班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1160,905,-1.262158,1.0504261,43,13966.0,60207.023,71919.68,40588.0389724514,102720.67235106007,LHR
早晨班機,TPE,晚間抵達,1,0,3,1,1,0,2,1,200,1005,-1.262158,1.0504261,36,125359.0,99730.11,108956.89,87695.2109824253,135722.10958383456,LHR
下午班機,TPE,凌晨抵達,1,0,3,1,1,0,2,1,380,1020,-1.262158,1.0504261,108,28691.0,30299.49,26267.568,22574.46193285002,32641.575186091486,LHR
