出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,早晨抵達,1,0,5,1,0,0,1,1,525,944,0.5468126,0.5891658,74,24932.0,26333.186,27739.059,24976.561503808047,31767.617396183392,JFK
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,0,1025,1065,0.5468126,0.5891658,64,34986.0,31585.62,32206.03,29428.754388918882,36627.00905608549,JFK
晚間班機,TPE,上午抵達,1,1,2,1,2,0,2,1,665,990,0.5468126,0.5891658,67,29045.0,26182.705,26906.363,23930.07817287427,30837.567070611363,JFK
晚間班機,TPE,早晨抵達,1,0,5,1,1,0,1,0,465,944,0.5468126,0.5891658,73,25608.0,33236.664,30362.291,26952.210197746124,35323.10315726477,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,2,2,1,605,1070,0.5468126,0.5891658,52,26757.0,38285.684,36964.145,30907.015134317684,43472.748115156166,JFK
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,1,70,1010,0.5468126,0.5891658,37,20715.0,25424.646,22586.463,20555.31675332609,27327.18982404694,JFK
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,1,701,994,0.5468126,0.5891658,60,24387.0,26884.15,28088.596,24459.157982591863,33205.12991150925,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,1,2,0,670,1065,0.5468126,0.5891658,59,22859.0,23845.584,23704.436,21813.556308093375,25882.953581451857,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,435,1050,0.5468126,0.5891658,58,22405.0,24820.059,23844.56,22037.467733344714,27169.209636196112,JFK
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,865,1065,0.5468126,0.5891658,52,22845.0,23218.035,23713.14,22126.872168528582,27180.54764825871,JFK
晚間班機,TPE,下午抵達,1,0,2,1,0,0,1,0,701,994,0.5468126,0.5891658,64,40152.0,34151.92,31647.494,28190.013404060654,40953.30732901339,JFK
晚間班機,TPE,下午抵達,1,0,1,1,0,2,1,0,924,955,0.5468126,0.5891658,43,33563.0,33885.56,37336.44,32848.55146760706,43023.88277280287,JFK
下午班機,TPE,晚間抵達,1,0,2,0,1,0,1,1,0,885,0.5468126,0.5891658,55,25195.0,29155.125,28963.648,24135.56437855901,35733.62870030047,JFK
晚間班機,TPE,下午抵達,1,0,1,1,0,1,1,0,711,999,0.5468126,0.5891658,59,25122.0,30786.605,30279.01,26645.737728746193,40343.13427640839,JFK
晚間班機,TPE,下午抵達,1,0,1,1,1,2,1,1,834,955,0.5468126,0.5891658,43,30466.0,35990.92,35161.293,32444.943251886492,40122.71513659735,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,710,1050,0.5468126,0.5891658,63,23927.0,28313.604,26576.53,24261.402095571542,32173.009171912556,JFK
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,0,1470,945,0.5468126,0.5891658,14,34472.0,36232.793,34111.914,28340.70887209096,41635.679413848,JFK
下午班機,TSA,上午抵達,1,1,1,1,1,0,2,0,895,945,0.5468126,0.5891658,62,52576.0,55785.49,51788.184,43731.50077187632,62585.03995259196,JFK
凌晨班機,TPE,下午抵達,1,0,5,1,1,2,1,1,867,987,0.5468126,0.5891658,3,45289.0,42139.703,41987.863,37460.136434603264,50854.744346069994,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,1,2,1,495,1050,0.5468126,0.5891658,64,25889.0,28062.998,26196.768,24522.483459286617,30657.220874371913,JFK
晚間班機,TPE,下午抵達,1,1,2,1,1,0,2,0,905,1000,0.5468126,0.5891658,66,38544.0,43484.734,38339.76,34196.44673359969,42901.57621607749,JFK
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,600,945,0.5468126,0.5891658,16,72987.0,73276.1,66217.02,56507.59838770185,78981.68299600633,JFK
晚間班機,TPE,下午抵達,1,1,5,1,2,0,2,1,175,1460,0.5468126,0.5891658,34,40087.0,41123.02,46950.76,39723.055472485845,56676.304276370865,JFK
早晨班機,TPE,晚間抵達,1,0,5,1,1,2,2,1,615,1075,0.5468126,0.5891658,11,58202.0,64966.234,57052.953,49728.302580729534,65037.008381150634,JFK
下午班機,TSA,上午抵達,1,1,1,1,1,0,2,1,1085,955,0.5468126,0.5891658,60,29456.0,42052.543,41940.277,36515.12277664545,50818.36916080358,JFK
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,0,600,945,0.5468126,0.5891658,18,72887.0,70570.25,67282.91,56848.365513374665,77856.79556633701,JFK
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,0,865,1065,0.5468126,0.5891658,51,22839.0,24112.785,24785.877,23139.2648850639,27601.723318250708,JFK
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,1025,1065,0.5468126,0.5891658,53,26685.0,27964.705,28293.088,26201.672684469617,31221.26087841049,JFK
晚間班機,TPE,下午抵達,1,0,2,1,0,0,1,1,851,994,0.5468126,0.5891658,73,23008.0,27039.564,28656.986,25682.537077002173,32982.36731867802,JFK
上午班機,TPE,上午抵達,1,1,2,1,1,1,2,0,1210,980,0.5468126,0.5891658,32,30268.0,30363.014,29134.0,24962.94586882649,32534.446480365863,JFK
上午班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,474,995,0.5468126,0.5891658,33,24955.0,24956.994,26896.408,24240.54482979334,30629.379252443992,JFK
上午班機,TPE,晚間抵達,1,0,1,1,0,0,1,1,479,1010,0.5468126,0.5891658,37,72120.0,24265.55,25075.736,22388.280751977865,28488.972377019196,JFK
上午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,280,1055,0.5468126,0.5891658,28,24621.0,27884.916,28746.824,25975.655330092774,33200.50118862202,JFK
凌晨班機,TPE,下午抵達,1,1,2,1,1,2,1,1,315,1390,0.5468126,0.5891658,5,56985.0,55911.133,57087.297,50832.97137782296,63902.84047410382,JFK
下午班機,TPE,晚間抵達,1,1,2,1,2,0,2,1,220,985,0.5468126,0.5891658,59,26579.0,27956.172,26369.375,24243.777595002044,30557.79649374889,JFK
下午班機,TPE,晚間抵達,1,0,2,1,2,0,2,0,205,985,0.5468126,0.5891658,65,62563.0,57366.13,50863.707,43317.04342279753,60374.39020646437,JFK
晚間班機,TPE,下午抵達,1,0,2,1,1,0,1,1,175,1442,0.5468126,0.5891658,74,83011.0,64876.457,65140.07,53847.22975976379,80038.51209702383,JFK
晚間班機,TPE,晚間抵達,1,0,1,1,1,0,1,0,1230,949,0.5468126,0.5891658,54,24280.0,31917.838,30890.604,26530.05669855289,37256.242164817806,JFK
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,1030,938,0.5468126,0.5891658,52,40336.0,45879.484,43727.727,38650.55776630187,53203.28318892295,JFK
晚間班機,TPE,下午抵達,1,0,2,1,0,0,1,1,701,994,0.5468126,0.5891658,65,25904.0,30922.172,30375.498,26827.800769299447,36513.825587492596,JFK
晚間班機,TPE,上午抵達,1,1,2,1,2,0,2,1,665,990,0.5468126,0.5891658,65,29483.0,26783.396,27345.736,24722.136281972325,31565.644730352815,JFK
晚間班機,TPE,早晨抵達,1,0,1,1,0,0,1,1,320,939,0.5468126,0.5891658,76,25355.0,24861.637,26507.297,24245.471891030495,30728.763249303294,JFK
上午班機,TSA,晚間抵達,1,1,3,1,1,0,2,0,385,945,0.5468126,0.5891658,26,32027.0,44190.26,48485.816,37213.37171673997,58560.90533044162,JFK
晚間班機,TPE,上午抵達,1,1,2,1,2,0,2,1,665,990,0.5468126,0.5891658,54,24458.0,26432.371,25968.936,22277.7117474153,33445.36158742311,JFK
上午班機,TSA,上午抵達,1,0,1,1,1,0,2,1,1260,1000,0.5468126,0.5891658,14,70587.0,79377.55,65696.08,52538.72990947813,79091.87559132949,JFK
晚間班機,TSA,晚間抵達,1,0,1,1,1,0,2,1,1480,930,0.5468126,0.5891658,55,169946.0,174645.2,149715.7,115650.45331712256,179082.31481390932,JFK
晚間班機,TPE,早晨抵達,1,0,1,1,0,0,1,1,280,939,0.5468126,0.5891658,78,26072.0,26481.146,27159.719,24899.06776530898,30871.027999309816,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,715,1050,0.5468126,0.5891658,51,26578.0,26275.812,25115.66,23023.5335014566,30209.470155396775,JFK
早晨班機,TSA,上午抵達,1,0,1,1,1,1,2,1,1470,945,0.5468126,0.5891658,15,29095.0,30926.006,29625.652,25122.099296063483,35279.77285543536,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,670,1065,0.5468126,0.5891658,57,24239.0,24864.244,24181.252,22498.073513603016,27247.235487909336,JFK
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,1025,1065,0.5468126,0.5891658,50,29186.0,28277.928,28529.037,25892.905344714432,30991.667057889987,JFK
下午班機,TSA,上午抵達,1,0,1,1,1,0,2,1,875,980,0.5468126,0.5891658,58,47940.0,67830.99,61810.758,54861.96413171983,78520.64203370508,JFK
早晨班機,TPE,凌晨抵達,1,1,3,1,1,2,2,1,1010,1055,0.5468126,0.5891658,13,45344.0,32692.04,33134.53,28485.13620943563,39549.8967592481,JFK
上午班機,TSA,上午抵達,1,0,1,1,1,0,2,1,1365,945,0.5468126,0.5891658,37,79845.0,81256.77,71920.086,62506.07357516847,81603.79620679253,JFK
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,1,70,1010,0.5468126,0.5891658,37,20731.0,25424.646,22586.463,20555.31675332609,27327.18982404694,JFK
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,120,1445,0.5468126,0.5891658,78,44655.0,44845.227,43304.047,40480.7150511793,47735.51399720673,JFK
晚間班機,TPE,下午抵達,1,0,5,1,1,0,1,1,1019,960,0.5468126,0.5891658,34,31237.0,38345.17,33177.664,28349.773740336113,41871.05321412078,JFK
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,709,1001,0.5468126,0.5891658,54,23322.0,26576.885,26148.893,23425.357690721696,31334.736972950344,JFK
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,865,1065,0.5468126,0.5891658,58,22946.0,23031.17,23349.184,21875.840640290142,27020.017931915787,JFK
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,1025,1065,0.5468126,0.5891658,55,26140.0,30661.896,30314.896,27719.2958212075,35242.043502382345,JFK
晚間班機,TPE,下午抵達,1,0,5,1,1,0,1,1,959,960,0.5468126,0.5891658,34,27254.0,36969.293,32342.941,27459.047356119787,39600.0944245393,JFK
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,0,600,945,0.5468126,0.5891658,18,72888.0,70570.25,67282.91,56848.365513374665,77856.79556633701,JFK
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,1,65,999,0.5468126,0.5891658,29,21646.0,24863.723,23703.305,21390.40563418145,29594.441741667833,JFK
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,836,953,0.5468126,0.5891658,62,27914.0,33203.777,30063.404,26530.232547947795,35500.00158800961,JFK
上午班機,TPE,下午抵達,1,1,2,1,1,0,1,0,65,999,0.5468126,0.5891658,33,22855.0,25477.732,24890.652,22343.67590418317,28220.588186911384,JFK
晚間班機,TPE,上午抵達,1,1,2,1,2,0,2,1,665,990,0.5468126,0.5891658,50,23554.0,26799.852,27306.254,24302.682001943667,32619.599864645836,JFK
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,0,1470,945,0.5468126,0.5891658,19,41014.0,44877.57,41296.105,34030.01681537499,56203.72517482753,JFK
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,699,1011,0.5468126,0.5891658,55,23510.0,27136.494,27016.107,24205.786197539303,30508.92031984732,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,400,1050,0.5468126,0.5891658,63,26764.0,25281.047,25245.797,23807.683315606515,27722.299789706267,JFK
