出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,晚間抵達,1,0,5,1,1,0,2,1,1695,1075,0.5468126,0.5891658,65,134133.0,140024.1,132859.66,111006.37961869346,156895.5951110414,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,345,1050,0.5468126,0.5891658,50,116569.0,124563.06,121511.13,111397.63218062362,128438.38946331167,JFK
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,1,1470,945,0.5468126,0.5891658,7,167240.0,131706.48,129187.11,115003.06883082003,141685.25164853796,JFK
上午班機,TPE,晚間抵達,1,1,3,1,1,1,2,0,210,1070,0.5468126,0.5891658,33,125891.0,132123.52,129220.75,120114.84822416214,147008.9798389235,JFK
下午班機,TSA,晚間抵達,1,1,3,1,1,0,2,0,1460,945,0.5468126,0.5891658,53,126829.0,129205.23,130843.766,118601.13963343087,154876.64122240443,JFK
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,865,1065,0.5468126,0.5891658,62,111359.0,113613.44,110489.016,102735.20864267935,114756.23311546154,JFK
下午班機,TPE,上午抵達,1,1,1,1,1,0,2,1,1010,990,0.5468126,0.5891658,55,87276.0,94441.43,96476.96,88638.09024857222,106008.3879928249,JFK
下午班機,TSA,晚間抵達,1,0,1,1,1,2,2,1,1595,930,0.5468126,0.5891658,24,126948.0,135082.34,133993.67,118578.79163505981,154749.07853990025,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,565,1050,0.5468126,0.5891658,55,119531.0,120740.3,117552.21,109635.40908512799,123897.39653069866,JFK
下午班機,TPE,晚間抵達,1,0,5,1,1,0,2,1,1695,1075,0.5468126,0.5891658,32,161535.0,139472.61,132195.86,114944.64259319135,145911.58967121437,JFK
早晨班機,TPE,晚間抵達,1,0,2,1,2,2,2,1,540,985,0.5468126,0.5891658,13,171454.0,167412.19,159516.81,142760.5801049387,177658.19450757123,JFK
晚間班機,TPE,晚間抵達,1,1,2,1,2,0,2,1,1235,990,0.5468126,0.5891658,71,85974.0,100114.72,101544.195,90703.7023650191,114364.46154048965,JFK
晚間班機,TPE,下午抵達,1,0,1,1,1,2,1,1,1030,938,0.5468126,0.5891658,38,139702.0,149639.75,130610.625,118559.40453934937,148733.00018203247,JFK
晚間班機,TPE,下午抵達,1,0,2,1,0,0,1,1,701,994,0.5468126,0.5891658,70,120947.0,125970.1,127604.484,116597.16212022539,143098.83840572828,JFK
上午班機,TSA,上午抵達,1,0,3,1,1,2,2,1,1335,945,0.5468126,0.5891658,26,158763.0,160816.08,155820.55,134604.24678259558,186012.5670362529,JFK
晚間班機,TPE,晚間抵達,1,0,2,1,0,0,1,1,951,963,0.5468126,0.5891658,78,129807.0,134753.47,121578.71,110484.65812005723,136984.04836019885,JFK
上午班機,TSA,晚間抵達,1,1,3,1,1,0,2,1,385,945,0.5468126,0.5891658,16,159413.0,157807.14,149972.06,141211.18873559928,162146.47652142736,JFK
晚間班機,TPE,晚間抵達,1,0,2,1,1,0,1,1,951,963,0.5468126,0.5891658,77,122480.0,133869.39,124297.84,112429.4828846446,139263.19397361221,JFK
晚間班機,TPE,下午抵達,1,0,1,1,1,0,1,1,1030,938,0.5468126,0.5891658,62,141025.0,138086.11,122064.805,111269.25648027928,137550.78036180564,JFK
晚間班機,TPE,晚間抵達,1,1,3,1,1,2,2,1,1090,1060,0.5468126,0.5891658,52,114426.0,128246.445,141418.6,118704.19732478923,173418.44147354955,JFK
晚間班機,TPE,晚間抵達,1,0,1,0,1,0,1,1,0,885,0.5468126,0.5891658,76,126734.0,130336.38,116099.83,105700.72520673921,130138.54309625714,JFK
晚間班機,TPE,早晨抵達,1,0,5,1,0,0,1,1,525,944,0.5468126,0.5891658,70,129874.0,122448.516,107425.92,94954.46606364875,125746.836986251,JFK
晚間班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,240,1050,0.5468126,0.5891658,71,110234.0,117988.445,118779.875,108005.87700525492,124599.43295828557,JFK
上午班機,TSA,晚間抵達,1,0,2,1,2,0,2,0,400,990,0.5468126,0.5891658,35,200965.0,202826.84,198129.84,176725.6060060304,217811.5758716226,JFK
晚間班機,TSA,晚間抵達,1,0,3,1,1,0,2,1,1290,945,0.5468126,0.5891658,77,177579.0,149202.28,152232.42,138118.0755037331,171179.9079127627,JFK
早晨班機,TSA,上午抵達,1,0,1,1,1,0,2,1,1470,945,0.5468126,0.5891658,16,104067.0,116448.46,117863.61,108715.49648279103,131076.64811568643,JFK
