出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
上午班機,TPE,下午抵達,1,1,1,1,1,0,1,1,650,1320,-1.262158,1.0504261,36,242484.0,222967.11,226952.5,208455.80236625363,239972.79695598086,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,470,1015,-1.262158,1.0504261,103,103021.0,96799.805,97417.234,90168.5550235298,105630.64107953726,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,780,1010,-1.262158,1.0504261,112,89692.0,86221.38,90782.95,83326.6294737263,97591.57279977338,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,450,1000,-1.262158,1.0504261,118,89262.0,90705.76,92773.336,85380.90027110044,98295.58472548598,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,735,1010,-1.262158,1.0504261,103,90868.0,87895.805,93155.01,85755.1012511878,100324.9109930165,LHR
上午班機,TSA,早晨抵達,1,1,3,1,1,0,2,1,700,1035,-1.262158,1.0504261,38,99274.0,103641.15,105439.664,91178.7434731297,119168.03772518307,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,855,1015,-1.262158,1.0504261,107,89731.0,85874.99,91510.95,85826.79594511808,101710.43553608008,LHR
上午班機,TPE,早晨抵達,1,1,1,1,1,0,1,1,435,1320,-1.262158,1.0504261,32,242535.0,236145.72,227735.2,205409.0403661627,244257.11114848443,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,935,1030,-1.262158,1.0504261,115,82456.0,75500.5,79145.41,71186.5888723945,88150.41015186251,LHR
晚間班機,TPE,上午抵達,1,1,5,1,2,0,1,0,130,1070,-1.262158,1.0504261,101,108796.0,116342.12,105400.76,97933.54062259354,118101.51755347231,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,770,1010,-1.262158,1.0504261,101,100411.0,92168.9,94564.81,87095.25688241476,102012.15316906013,LHR
下午班機,TSA,下午抵達,1,0,2,1,1,0,2,0,1260,830,-1.262158,1.0504261,125,124957.0,147067.53,142819.89,124971.05691150166,167494.38149606474,LHR
早晨班機,TSA,下午抵達,1,0,3,1,1,0,2,1,1365,1035,-1.262158,1.0504261,40,289837.0,248503.64,261953.33,203221.06025318746,305079.191691715,LHR
下午班機,TSA,下午抵達,1,0,3,1,1,2,2,1,790,1035,-1.262158,1.0504261,98,292781.0,286885.8,287509.75,234181.63418164037,344016.6696718866,LHR
晚間班機,TPE,上午抵達,1,1,1,1,1,0,1,1,165,1020,-1.262158,1.0504261,112,103051.0,101227.055,95961.805,88159.17254709754,104347.51297301835,LHR
下午班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1260,830,-1.262158,1.0504261,89,140750.0,147813.61,149139.11,132829.16031287523,186453.63970239475,LHR
下午班機,TSA,下午抵達,1,0,3,1,1,0,2,1,980,1045,-1.262158,1.0504261,105,283608.0,277780.66,265728.8,210050.88665979207,305280.5862859023,LHR
晚間班機,TPE,晚間抵達,1,1,5,1,2,0,1,1,535,1065,-1.262158,1.0504261,104,100818.0,96036.51,95566.17,84457.81866462658,104878.84550083577,LHR
下午班機,TSA,晚間抵達,1,0,3,1,1,0,2,1,995,1070,-1.262158,1.0504261,118,279386.0,206916.62,241915.98,196118.00494260603,290467.2343865845,LHR
下午班機,TSA,下午抵達,1,1,1,1,1,0,2,1,800,1050,-1.262158,1.0504261,111,278271.0,262397.38,270064.6,237280.8900286964,289132.2738141493,LHR
晚間班機,TPE,凌晨抵達,1,0,3,1,1,2,2,0,125,1025,-1.262158,1.0504261,102,151771.0,150156.25,152334.67,133949.76228384135,171116.7945336329,LHR
早晨班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1375,900,-1.262158,1.0504261,35,141790.0,121334.305,128704.56,115335.76726321461,147516.91887166759,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,780,1055,-1.262158,1.0504261,109,125766.0,126364.76,124933.89,102914.65061944812,140461.70350965273,LHR
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,115,1025,-1.262158,1.0504261,31,85943.0,94391.09,88412.17,77959.29963525067,98513.94091001332,LHR
上午班機,TSA,下午抵達,1,0,3,1,1,0,2,0,1215,1075,-1.262158,1.0504261,41,107346.0,107580.63,103717.586,91106.70516957127,125470.9256712005,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,830,1025,-1.262158,1.0504261,114,106972.0,106342.984,103745.48,94510.34756710292,118385.52050415284,LHR
上午班機,TSA,下午抵達,1,0,3,1,1,0,2,0,1215,1075,-1.262158,1.0504261,37,110821.0,107182.78,108901.1,89913.75479363465,128897.93220997279,LHR
早晨班機,TSA,下午抵達,1,0,1,1,1,0,2,1,1375,1050,-1.262158,1.0504261,44,303971.0,254177.53,247242.03,191623.58168600887,281879.4568055829,LHR
晚間班機,TPE,凌晨抵達,1,0,3,1,1,0,2,1,155,1020,-1.262158,1.0504261,105,145053.0,118818.85,121972.76,109157.43462149125,136591.21910446128,LHR
下午班機,TPE,凌晨抵達,1,0,3,1,1,0,2,1,440,1025,-1.262158,1.0504261,126,86921.0,95409.81,92045.04,84360.11025515287,104778.68210556074,LHR
晚間班機,TPE,凌晨抵達,1,0,3,1,1,0,2,1,160,1015,-1.262158,1.0504261,102,161771.0,122448.87,124092.46,107378.59701849379,147586.58095385082,LHR
下午班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1120,885,-1.262158,1.0504261,120,121643.0,113304.734,132895.14,113727.48875673935,159842.3906149481,LHR
下午班機,TPE,下午抵達,1,0,2,1,1,0,2,0,925,1040,-1.262158,1.0504261,104,87631.0,108457.6,98982.22,88032.51050695253,112877.23883682712,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,525,1020,-1.262158,1.0504261,108,90851.0,89300.414,91117.07,83514.89552266577,98163.50070598317,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,735,1010,-1.262158,1.0504261,118,89135.0,89561.83,90466.37,84008.80145742804,98077.53480598296,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,300,1000,-1.262158,1.0504261,107,90044.0,91192.44,92959.68,86095.93434345885,100846.64973948595,LHR
晚間班機,TPE,晚間抵達,1,1,5,1,2,0,1,1,630,1070,-1.262158,1.0504261,109,101601.0,93670.46,96061.98,86468.5211029158,106507.16925521851,LHR
晚間班機,TPE,上午抵達,1,0,1,1,1,0,1,1,1325,1210,-1.262158,1.0504261,107,378384.0,305036.5,296805.25,214151.76404733918,343780.4751901894,LHR
晚間班機,TPE,晚間抵達,1,1,1,1,1,0,1,1,830,1025,-1.262158,1.0504261,115,103030.0,98482.89,95423.55,87348.45916076686,106747.2813602199,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,205,1140,-1.262158,1.0504261,112,109787.0,112007.54,113952.43,100056.66791658346,130339.60872527242,LHR
上午班機,TPE,凌晨抵達,1,0,3,1,1,0,2,1,655,1020,-1.262158,1.0504261,32,103119.0,100117.1,100192.37,90817.02032175429,110524.25172030106,LHR
早晨班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,180,1010,-1.262158,1.0504261,40,100682.0,90272.72,92557.53,85495.97439364204,99053.66730440408,LHR
上午班機,TPE,早晨抵達,1,0,3,1,1,0,2,0,690,1045,-1.262158,1.0504261,41,125327.0,128026.97,127676.305,116605.1240738105,146530.97336982534,LHR
下午班機,TSA,下午抵達,1,1,3,1,1,0,2,1,865,1035,-1.262158,1.0504261,107,72828.0,96705.59,101046.5,90465.69794283176,120516.31581679577,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,690,1015,-1.262158,1.0504261,111,91338.0,94497.11,92897.46,85813.5287995866,98344.63857422247,LHR
凌晨班機,TPE,下午抵達,1,1,2,1,1,0,1,0,345,975,-1.262158,1.0504261,10,116087.0,115771.23,114579.24,101707.67593535926,128900.79338164178,LHR
下午班機,TSA,晚間抵達,1,0,3,1,1,0,2,1,1185,1080,-1.262158,1.0504261,103,280100.0,222823.42,222448.45,173095.67371682415,278333.54943875165,LHR
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,1175,1005,-1.262158,1.0504261,108,99271.0,82111.49,92721.86,85333.25462459211,99493.99452355276,LHR
下午班機,TPE,下午抵達,1,1,1,1,1,0,2,0,640,1160,-1.262158,1.0504261,112,128064.0,105217.67,102370.89,92979.00256434383,114679.88783822594,LHR
上午班機,TPE,早晨抵達,1,1,1,1,1,0,1,1,375,1320,-1.262158,1.0504261,36,246368.0,241237.27,231921.47,209598.75846750583,247776.3749088341,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,635,1015,-1.262158,1.0504261,116,90057.0,89016.164,89156.44,83660.65704944941,96306.77132355038,LHR
下午班機,TPE,下午抵達,1,1,1,1,1,0,2,1,640,1160,-1.262158,1.0504261,100,103833.0,94132.016,96790.2,87723.84971968626,106695.66949209227,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,2,2,1,930,1010,-1.262158,1.0504261,114,89829.0,90876.16,93584.03,85550.9332264833,99572.0354917288,LHR
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,75,1010,-1.262158,1.0504261,115,89701.0,86587.086,90534.04,84604.8103531854,99850.9913970823,LHR
早晨班機,TPE,凌晨抵達,1,0,3,1,2,0,2,1,610,1150,-1.262158,1.0504261,38,87972.0,101878.07,101652.43,78478.24476109316,168873.89316112912,LHR
早晨班機,TPE,下午抵達,1,0,3,1,1,0,2,0,95,1005,-1.262158,1.0504261,30,202049.0,204890.73,203177.25,172722.47653573164,227665.82536378625,LHR
早晨班機,TSA,下午抵達,1,0,2,1,1,0,2,1,1650,840,-1.262158,1.0504261,41,119216.0,142227.4,132839.14,121444.52687049547,154123.07648221555,LHR
上午班機,TPE,早晨抵達,1,1,1,1,1,0,1,1,375,1320,-1.262158,1.0504261,38,243159.0,240121.75,238073.67,209955.01483984024,262614.81432101247,LHR
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,945,1005,-1.262158,1.0504261,113,90442.0,91542.2,98337.6,90923.93062943804,105991.13694943307,LHR
下午班機,TSA,下午抵達,1,1,2,1,1,0,2,1,1120,815,-1.262158,1.0504261,100,95025.0,91401.14,105513.6,92934.26246702694,126325.7933208311,LHR
下午班機,TSA,下午抵達,1,0,1,1,1,0,2,1,820,1050,-1.262158,1.0504261,101,334057.0,328354.1,287502.06,228824.3790255631,337568.91602907487,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,835,1010,-1.262158,1.0504261,116,88961.0,85247.42,89425.52,83507.47673744378,97741.66355996832,LHR
早晨班機,TPE,凌晨抵達,1,0,3,1,1,2,2,1,660,1140,-1.262158,1.0504261,32,116171.0,110811.82,113528.305,96332.27581079025,142930.89731871168,LHR
下午班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,1230,1030,-1.262158,1.0504261,110,85572.0,75793.48,80667.95,72499.62489539804,88566.1292088622,LHR
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,0,130,1040,-1.262158,1.0504261,35,210765.0,198137.22,175890.64,138791.81455945715,201422.50756986858,LHR
下午班機,TSA,下午抵達,1,1,2,1,1,0,2,0,845,875,-1.262158,1.0504261,102,87843.0,113195.11,115845.22,100641.67204653792,134882.4797305747,LHR
下午班機,TPE,下午抵達,1,1,2,1,1,0,2,1,1230,840,-1.262158,1.0504261,100,95267.0,89231.375,96156.75,88558.09069378677,106450.65318657033,LHR
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,505,1000,-1.262158,1.0504261,118,89262.0,92312.9,90809.016,85718.75623780182,98957.49578636065,LHR
早晨班機,TPE,晚間抵達,1,0,1,1,1,0,2,1,1555,1025,-1.262158,1.0504261,42,85108.0,94104.19,90483.89,80246.35963589976,104267.89444781959,LHR
早晨班機,TPE,晚間抵達,1,0,1,1,1,2,2,1,115,1025,-1.262158,1.0504261,26,101360.0,107709.88,103814.37,90031.07855893616,124891.62905539527,LHR
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,800,1135,-1.262158,1.0504261,120,100711.0,97134.94,101254.67,82722.19000079879,112566.37078121695,LHR
下午班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,1230,1030,-1.262158,1.0504261,101,77562.0,75459.91,79777.414,74395.28227230783,88813.15285517146,LHR
