出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
上午8:05,早晨班機,TSA,GMP,BR 67,22342.25,20683.506,21170,0.07424247781669253,0.052467857982074324,1.4150087438686276
清晨7:35,早晨班機,TSA,GMP,BR 75,22250.25,20560.0,19017,0.07596543859057764,0.14531297401152796,0.5227712054434394
下午6:50,晚間班機,TSA,GMP,TG 635,16681.0,18855.28,16653,-0.13034470355494268,0.001678556441460344,-77.6528571428571
晚上10:30,晚間班機,TSA,GMP,CI 837,18931.0,17932.084,17117,0.05276615075801601,0.09582166816332999,0.5506703417861086
晚上8:45,晚間班機,TSA,GMP,BR 205,21321.5,18855.28,19017,0.11566822221701105,0.10808339000539362,1.0701757431113044
晚上10:30,晚間班機,TSA,GMP,BR 61,21374.75,20711.535,21170,0.03102796523935953,0.009579059404203559,3.2391452991452994
上午10:05,晚間班機,TSA,GMP,CI 831,21880.5,19871.736,18479,0.0918061287447727,0.1554580562601403,0.5905524033514623
上午9:25,晚間班機,TSA,GMP,JX 741,22116.5,19485.988,17851,0.11893889177763203,0.19286505550154862,0.6166948775055676
上午9:40,晚間班機,TSA,GMP,BR 201,23891.25,21206.273,21166,0.11238327839690258,0.11406895830063307,0.9852222731859459
下午1:55,下午班機,TSA,GMP,TG 633,16674.75,15942.83,16647,0.04389391145294533,0.001664192866459767,26.3754954954955
下午1:50,下午班機,TSA,GMP,CI 835,19587.5,18009.24,17393,0.08057485641352896,0.11203573707721762,0.7191888812941437
下午1:30,下午班機,TSA,GMP,JX 745,19699.25,18346.201,17851,0.06868530527811968,0.09382336890998388,0.7320703368050854
清晨7:00,早晨班機,TSA,GMP,CI 833,21169.75,19156.81,18479,0.09508567649594345,0.12710353216263773,0.7480962556907921
上午8:25,早晨班機,TSA,GMP,BR 211,21362.25,20801.443,19022,0.02625224402860189,0.1095507261641447,0.23963550902681366
上午8:05,早晨班機,TSA,GMP,BR 67,23731.0,21013.432,19022,0.11451552821204329,0.19843243015465004,0.5771008706731788
下午6:50,晚間班機,TSA,GMP,TG 635,16678.25,18429.725,16647,-0.10501551421761866,0.0018736977800428703,-56.04719999999995
晚上10:30,晚間班機,TSA,GMP,CI 837,17995.0,17931.76,17122,0.003514309530425207,0.048513475965545984,0.07243986254295716
晚上8:45,晚間班機,TSA,GMP,BR 205,23453.0,18429.725,19022,0.21418475248369084,0.18893105359655482,1.1336662153012866
上午10:05,晚間班機,TSA,GMP,CI 831,22895.75,19871.736,18481,0.13207752530491462,0.19281962809691755,0.6849796704230136
上午9:25,晚間班機,TSA,GMP,JX 741,26915.75,19485.988,17851,0.27603771026257856,0.3367823672013598,0.8196323119777158
上午9:40,晚間班機,TSA,GMP,BR 201,28922.5,21206.273,24858,0.2667897657533062,0.14053072867144956,1.8984443350965676
下午1:55,下午班機,TSA,GMP,TG 633,16684.5,15942.83,16652,0.04445263567982259,0.0019479157301687195,22.820615384615387
