出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測中位數價格,中位數價格,效能,最佳效能,標準化效能
上午10:35,早晨班機,TSA,NRT,JL 802,10271.0,10626.421122892318,10274.0,-0.034604334815725606,0.2666731574335508,-0.1297630970764212
下午6:10,晚間班機,TSA,ICN,TR 896,3938.0,3784.970617871029,3588.0,0.03885967042381185,0.3174200101574403,0.12242350570317687
上午10:40,早晨班機,TSA,NRT,MM 622,10187.5,6851.630318193338,8240.0,0.3274473307294883,0.33840490797546013,0.9676199222064283
中午12:25,下午班機,TSA,HKG,BR 869,7696.75,4226.305215392777,4646.0,0.45089742873384514,0.5175885925877806,0.8711502440181292
下午4:55,下午班機,TSA,HKG,CI 919,3917.25,3983.834194531606,3983.0,-0.01699768830981072,0.02431552747463144,-0.6990466617491448
下午1:30,下午班機,TSA,ICN,JX 745,12486.5,6604.088121650527,9184.0,0.471101740147317,0.5094702278460738,0.9246894409100799
上午8:20,早晨班機,TSA,SIN,CI 753,5833.75,6348.288171107059,5812.0,-0.08820024360095283,0.04829655024641097,-1.826222435162586
上午8:05,早晨班機,TSA,HKG,BR 851,4697.75,4124.319933884637,4907.0,0.12206483233789855,0.18833484114735777,0.6481266641597773
上午10:50,早晨班機,TSA,HKG,HB 703,2302.5,2295.1892412020775,2207.0,0.003175139543071669,0.12225841476655809,0.02597072397130557
清晨6:35,早晨班機,TSA,NRT,IT 200,5724.0,7078.099478381443,5599.0,-0.2365652477955002,0.10918937805730258,-2.166559165410309
上午9:50,早晨班機,TSA,HKG,CX 499,4451.75,4556.521406344064,4521.0,-0.023534880966825274,0.022182287864323018,-1.060976266775336
下午6:35,晚間班機,TSA,HKG,CX 473,4494.75,4536.903455191755,4527.0,-0.009378375925636532,0.03131431114077535,-0.2994916887513663
晚上11:00,晚間班機,TSA,HKG,HB 707,2530.75,2393.7056421863444,2442.0,0.05415167749230684,0.1299022029042774,0.41686496673355294
下午3:15,下午班機,TSA,ICN,VZ 567,4514.25,4846.367969585107,4641.0,-0.07357101834969418,0.3192667663509996,-0.23043744637301436
清晨7:00,早晨班機,TSA,ICN,CI 833,23422.5,13535.117147210362,20058.5,0.4221318327586568,0.28316789411890275,1.4907475089015665
凌晨2:25,凌晨班機,TSA,NRT,MM 620,6712.5,5898.200135599677,6140.0,0.12131096676354902,0.22085661080074487,0.5492747820575533
晚上9:20,晚間班機,TSA,HKG,HB 705,2391.75,2635.095874179067,2339.0,-0.10174385875575076,0.15501202048709103,-0.6563610901660604
晚上7:40,晚間班機,TSA,HKG,CX 451,4466.25,4536.903455191763,4524.0,-0.015819413421049647,0.0253568429890848,-0.6238715690221898
上午8:20,早晨班機,TSA,HKG,CX 407,4523.0,4536.903455191763,4520.0,-0.0030739454326250246,0.03758567322573513,-0.08178503053978227
下午6:50,晚間班機,TSA,ICN,TG 635,11310.25,12614.298736076764,9707.0,-0.11529795858418371,0.4565991025839393,-0.25251464125028106
下午6:10,晚間班機,TSA,ICN,TR 896,6388.0,8262.723092532307,7188.0,-0.29347575023987277,0.21916092673763307,-1.3390879232373623
上午9:30,早晨班機,TSA,NRT,CI 100,24209.25,11191.24347822886,13410.0,0.537728617027423,0.5705773619587554,0.942428937561482
上午9:40,早晨班機,TSA,ICN,BR 201,7370.0,7932.052157052673,7783.0,-0.07626216513604783,0.23704206241519674,-0.32172418835298944
中午12:10,下午班機,TSA,NRT,SL 394,11575.0,7601.037271092947,6995.0,0.34332291394445386,0.46652267818574517,0.7359190238716765
晚上8:15,晚間班機,TSA,HKG,CX 531,4500.0,4536.903455191763,4524.0,-0.008200767820391775,0.03266666666666666,-0.25104391286913597
下午3:20,下午班機,TSA,NRT,BR 196,9655.5,10295.269628504137,9837.0,-0.06625960628700084,0.050800062140748795,-1.3043213629034385
下午3:45,下午班機,TSA,HKG,HX 255,2107.25,2432.669735141359,2256.0,-0.15442863217053462,0.07225056353066793,-2.137403843292999
清晨7:25,早晨班機,TSA,SIN,BR 225,6044.5,6441.9398923581075,6160.0,-0.06575231902690173,0.06609314252626354,-0.9948432850015209
下午1:30,下午班機,TSA,ICN,JX 745,14813.75,7349.654405404555,11121.0,0.5038626677644381,0.38017044975107583,1.325359896052816
下午2:10,下午班機,TSA,GMP,ZE 888,6250.0,6267.771903139197,6400.0,-0.002843504502271535,0.584,-0.004869014558684135
下午6:25,晚間班機,TSA,HND,CI 222,9269.5,10351.403119874272,9366.0,-0.11671644855432033,0.11041588003667943,-1.057062159134609
中午12:10,下午班機,TSA,NRT,SL 394,5838.5,4560.296202752731,5696.0,0.21892674441162438,0.164168878992892,1.333545954352915
下午6:10,晚間班機,TSA,HKG,CI 923,4140.75,4065.523048064965,3966.0,0.01816747012860829,0.08808790678017267,0.20624250016459156
下午4:30,下午班機,TSA,HKG,JX 235,3746.0,3603.499170860882,3573.0,0.038040797954916765,0.1190603310197544,0.31950858551371797
上午9:20,早晨班機,TSA,GMP,CI 260,7604.75,8579.53458874672,7472.0,-0.12818101696265088,0.09740622637167559,-1.315942745523752
下午3:50,下午班機,TSA,HKG,CX 443,4511.75,4536.903455191763,4528.0,-0.0055750995050175625,0.02565523355682385,-0.21730846817937785
下午4:30,下午班機,TSA,HKG,JX 235,3640.75,3603.499170860882,3617.0,0.010231636102209214,0.09359335301792213,0.10932011486168217
上午8:05,早晨班機,TSA,HKG,BR 851,6114.25,5255.032084909512,6933.0,0.14052711536009937,0.2622153166782516,0.5359226041418916
上午9:50,早晨班機,TSA,HKG,CX 499,4526.0,4556.521406344064,4521.0,-0.006743571883354931,0.0382235969951392,-0.17642431412753998
晚上8:45,晚間班機,TSA,ICN,BR 205,13267.25,6214.786731999386,11164.0,0.5315693356197113,0.3271401383105014,1.624897936294134
晚上7:30,晚間班機,TSA,HKG,CX 565,9916.0,6409.753095116129,5587.0,0.3535948875437547,0.5454820492133925,0.6482246080391701
凌晨2:25,凌晨班機,TSA,NRT,MM 620,6012.5,5898.200135599677,6140.0,0.019010372457434147,0.06361746361746362,0.2988231749028047
清晨7:15,早晨班機,TSA,HKG,CI 601,3895.75,4006.669826408843,3931.0,-0.02847200831902539,0.0759160623756658,-0.3750459050172211
上午10:35,早晨班機,TSA,NRT,JL 802,11597.25,10626.421122892318,11740.0,0.08371199009314124,0.26922330724956345,0.31093886687731037
下午6:10,晚間班機,TSA,HKG,BR 857,4422.5,6648.855409742283,4189.0,-0.5034155816262935,0.13781797625777276,-3.652757029929915
下午4:30,下午班機,TSA,HND,BR 190,19113.25,14106.875500533635,15449.0,0.26193214128765985,0.47031509554889933,0.5569290540886463
