出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
晚上7:25,晚間班機,TSA,ICN,KE 188,17196.75,13052.79051190985,16670,0.2409734099809644,0.030630787794205302,7.867032725372851
下午2:35,下午班機,TSA,NRT,CI 108,27264.5,21228.96320464956,21341,0.221369795717891,0.21726054026297933,1.0189139521145336
下午3:35,下午班機,TSA,HND,JL 98,31612.75,30097.262263339184,29624,0.04793913015036073,0.06290974369518627,0.7620302887043702
下午4:30,下午班機,TSA,HKG,JX 235,14629.25,12761.06447240502,12895,0.12770207137036965,0.11854674709913358,1.0772296540838866
下午1:20,下午班機,TSA,HKG,CX 495,14314.5,14328.416324134098,14278,-0.0009721837391524344,0.002549862028013553,-0.38126915435883624
下午2:10,下午班機,TSA,SIN,SQ 877,32403.0,27195.53866643391,26838,0.16070923474882234,0.17174335709656513,0.9357522611978599
下午4:50,下午班機,TSA,HND,NH 854,41092.0,31618.882631038632,33741,0.2305343465628679,0.17889126837340602,1.2886841748008935
下午1:25,下午班機,TSA,NRT,JL 8664,25167.75,20045.77703489872,22924,0.2035133440653725,0.08915179147917474,2.282773466340403
中午12:25,下午班機,TSA,ICN,KE 186,21869.5,15083.526823514529,18578,0.3102939333997335,0.15050641304099316,2.0616658594821424
下午2:10,下午班機,TSA,SIN,SQ 877,32756.25,22323.75502090015,32750,0.31848868472733755,0.00019080328181644724,1669.199196655976
下午5:10,下午班機,TSA,ICN,OZ 714,18754.25,13225.13278481205,14098,0.2948194257401895,0.2482770572003679,1.1874614153423784
清晨7:55,早晨班機,TSA,ICN,CI 160,18477.5,17689.861156170366,17909,0.04262691618615259,0.03076714923555676,1.3854685027786005
上午8:05,早晨班機,TSA,HKG,CI 903,14237.5,13281.69113684634,13354,0.06713319495372498,0.062054433713784024,1.0818436481648663
下午5:35,下午班機,TSA,SIN,SQ 879,25654.25,22323.75502090015,21749,0.12982234830875394,0.15222623931707222,0.8528250378592538
上午9:30,早晨班機,TSA,HND,JL 96,40534.5,32975.45872841905,34337,0.18648413750215126,0.15289444793940965,1.2196920163906333
晚上7:25,晚間班機,TSA,ICN,KE 188,19226.5,16325.498539137565,16675,0.15088557256195537,0.1327074610563545,1.1369788206397942
晚上7:55,晚間班機,TSA,SIN,CI 755,22697.0,19102.24251840807,21403,0.15838029173864074,0.057011939903952064,2.778019692111228
下午3:00,下午班機,TSA,NRT,JX 804,24044.75,21583.1323947025,21265,0.10237651068518071,0.11560735711537862,0.8855535948547527
清晨7:15,早晨班機,TSA,HND,BR 192,32279.0,25961.499548868003,26156,0.1957154946290776,0.1896898912605719,1.0317655481188952
上午9:30,早晨班機,TSA,NRT,CI 100,29317.5,24876.343866000156,29284,0.15148481739574807,0.0011426622324550184,132.57182489551772
中午12:50,下午班機,TSA,NRT,CX 450,19695.5,20490.090677337394,19687,-0.04034376773056757,0.0004315706633494961,-93.48125615734041
下午3:35,下午班機,TSA,HND,JL 98,30440.25,30138.859171658733,29621,0.009901062847422983,0.02691337948932745,0.36788627200642965
下午3:15,下午班機,TSA,ICN,BR 160,20171.75,19396.408084492712,20164,0.038437017884283116,0.0003842006766889338,100.04411812997263
清晨7:25,早晨班機,TSA,SIN,BR 225,29767.5,19965.89834130045,22241,0.3292719126127337,0.2528428655412782,1.3022788359396202
上午8:05,早晨班機,TSA,HKG,BR 851,15663.0,16462.24056004675,14875,-0.05102729745558003,0.05030964693864522,-1.0142646701100888
下午2:10,下午班機,TSA,SIN,SQ 877,22780.25,22323.75502090015,19449,0.020039068012855467,0.14623412824705612,0.1370341400674974
下午2:35,下午班機,TSA,NRT,CI 108,24669.5,21072.593131319507,20561,0.14580380099639204,0.16654168102312572,0.8754793400707055
下午1:40,下午班機,TSA,ICN,OZ 712,18348.5,16328.08152104206,15837,0.1101135503696727,0.13687767392429898,0.8044668441003144
上午9:30,早晨班機,TSA,NRT,CI 100,23539.25,22535.49165832075,22771,0.042641899876982116,0.03263697866329641,1.3065516975974634
晚上9:15,晚間班機,TSA,HKG,CX 479,14283.75,14158.918681061912,14267,0.008739393992340097,0.0011726612409206265,7.452616056005246
上午9:50,早晨班機,TSA,HKG,CX 469,14281.0,14431.953207167851,14267,-0.010570212671931332,0.0009803235067572299,-10.782371940560811
下午2:30,下午班機,TSA,HKG,CI 915,13881.0,13389.95048959764,13172,0.035375658122783614,0.051077011742669834,0.6925945139666564
晚上7:55,晚間班機,TSA,SIN,CI 755,18962.0,17498.814484306313,17623,0.07716409216821471,0.07061491403860352,1.092744970645024
