出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測平均價格,平均價格,效能,最佳效能,標準化效能
上午8:25,早晨班機,TSA,HKG,BR 211,6406.75,7685.21,6619,-0.1995489132555508,0.15667069887228313,-1.273683686176837
上午8:05,早晨班機,TSA,HKG,BR 67,7220.25,7974.8027,7538,-0.10450506561407157,0.16567985873065338,-0.6307650574712645
下午6:50,晚間班機,TSA,HKG,TG 635,7454.25,6612.037,6495,0.11298427071804672,0.23479894020189826,0.48119582916726167
晚上10:30,晚間班機,TSA,HKG,CI 837,5217.75,6272.958,5254,-0.20223429639212298,0.05495663839777682,-3.6798884045335645
晚上9:30,晚間班機,TSA,HKG,VZ 565,4131.0,4000.567,3943,0.03157419511014282,0.18373275236020334,0.17184848484848483
晚上7:45,晚間班機,TSA,HKG,VZ 569,4226.5,4277.284,4227,-0.01201561575771907,0.27315745889033477,-0.04398787353832798
晚上8:45,晚間班機,TSA,HKG,BR 205,5867.5,6612.037,5895,-0.1268916915210908,0.0755858542820622,-1.6787756482525376
晚上10:30,晚間班機,TSA,HKG,BR 61,5893.25,6035.2573,5849,-0.024096602044712208,0.0796249946973232,-0.30262610548748053
上午10:05,凌晨班機,TSA,HKG,CI 831,6079.0,7647.8926,6080,-0.2580839940779734,0.10840598782694522,-2.380717147192717
上午9:25,凌晨班機,TSA,HKG,JX 741,5668.25,7611.5913,6249,-0.3428467869271821,0.07961010894014908,-4.30657351800554
下午1:55,下午班機,TSA,HKG,TG 633,6011.5,6327.6826,6092,-0.05259629044331699,0.05115195874573734,-1.028236097560976
下午1:50,下午班機,TSA,HKG,CI 835,6121.5,7564.3877,6827,-0.23570819243649435,0.150208282283754,-1.569209026644916
下午1:30,下午班機,TSA,HKG,JX 745,5351.0,6879.602,5389,-0.2856666043730144,0.07437862081853859,-3.8407085427135677
下午3:15,下午班機,TSA,HKG,VZ 567,4691.0,4934.692,4614,-0.05194883820081006,0.28117672138136857,-0.18475511751326762
清晨7:40,早晨班機,TSA,HKG,TG 637,6141.25,6499.0254,6092,-0.05825774882963573,0.07119886016690413,-0.8182399085191548
清晨7:00,早晨班機,TSA,HKG,CI 833,6545.5,8679.638,6298,-0.3260465968986328,0.17195019479031395,-1.8961688138605073
上午8:25,早晨班機,TSA,HKG,BR 211,7284.0,7868.78,6634,-0.08028281164195493,0.23105436573311366,-0.347462863933452
上午8:05,早晨班機,TSA,HKG,BR 67,6675.5,7868.78,6558,-0.17875514942700918,0.1584150999925099,-1.1283971631205674
清晨7:35,早晨班機,TSA,HKG,BR 75,6164.75,8111.589,6203,-0.31580177622774647,0.12324100734011922,-2.5624731819677526
下午6:50,晚間班機,TSA,HKG,TG 635,6130.5,6708.5757,6438,-0.09429503303156354,0.06957018187749776,-1.3553943728018762
晚上10:30,晚間班機,TSA,HKG,CI 837,5190.75,6512.669,5655,-0.2546682078697683,0.05004093820738814,-5.089197305101058
晚上9:30,晚間班機,TSA,HKG,VZ 565,3809.25,4032.6707,3706,-0.058652149373236234,0.11609896961344096,-0.5051909553420014
