出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測中位數價格,中位數價格,效能,最佳效能,標準化效能
清晨7:55,早晨班機,TSA,ICN,CI 160,18518.25,18586.29425890072,18660.0,-0.0036744432600662384,0.06767648130897898,-0.05429424209114033
上午10:05,早晨班機,TSA,ICN,CI 831,21237.0,21646.380380132712,21178.0,-0.019276751901526213,0.07774167726138344,-0.24795904308462274
下午6:25,晚間班機,TSA,HND,CI 222,30130.75,28050.5631033894,26469.0,0.06903866968497635,0.22743376782854724,0.30355505404554395
上午9:30,早晨班機,TSA,HND,JL 96,31237.5,31327.656434770317,32237.0,-0.002886160376800864,0.05174869947979192,-0.0557726166225283
晚上10:30,晚間班機,TSA,ICN,CI 837,18599.75,19535.72266206545,19583.0,-0.05032178723184188,0.07928870011693706,-0.6346653073846081
下午5:00,下午班機,TSA,HKG,CX 421,15767.5,15670.64176984833,15765.0,0.006142903450240735,0.09433962264150944,0.06511477657255178
晚上8:45,晚間班機,TSA,ICN,BR 205,21261.5,18519.67583114313,21359.5,0.1289572310917325,0.004491686851821367,28.710200721014353
上午8:25,早晨班機,TSA,ICN,BR 211,22189.75,28846.479684188223,21361.0,-0.2999911979264401,0.14365867123333972,-2.088222001156999
上午10:35,早晨班機,TSA,NRT,JL 802,28794.25,26861.93455447964,30735.0,0.06710768453841856,0.20345207810587182,0.32984516630740557
上午10:35,早晨班機,TSA,NRT,JL 802,28785.0,34572.09223599881,30725.0,-0.2010454137918642,0.20350877192982456,-0.9878955677703671
下午1:40,下午班機,TSA,ICN,OZ 712,14517.5,15299.717455879749,15146.0,-0.053881002643688565,0.09743413122094025,-0.5529992618449974
下午4:30,下午班機,TSA,HND,BR 190,28995.0,30672.40597988915,27370.0,-0.05785155992030179,0.06511467494395586,-0.8884565571446771
上午8:50,早晨班機,TSA,NRT,BR 198,25195.5,25771.26522346177,24909.0,-0.02285190702553118,0.01204580182969181,-1.8970847560519633
上午9:30,早晨班機,TSA,NRT,CI 100,23954.75,24886.5757240678,24895.0,-0.038899413438578966,0.08435696469384986,-0.4611286522666334
清晨7:55,早晨班機,TSA,NRT,BR 184,37987.0,32777.70407827506,33480.0,0.13713364892528856,0.11938294679758865,1.1486870830705482
下午5:00,下午班機,TSA,HKG,CX 421,14288.75,15670.64176984833,14287.0,-0.09671187261645205,0.000682354999562593,-141.73248921521323
下午2:10,下午班機,TSA,SIN,SQ 877,29832.25,26778.5302483066,28156.0,0.10236303837938471,0.14022576238801968,0.7299873905918602
下午3:15,下午班機,TSA,ICN,BR 160,20243.75,20130.673991183692,20186.0,0.0055857244243931025,0.0036924976844705157,1.5127225259706738
下午3:50,下午班機,TSA,HKG,CX 443,14279.25,14235.227765920155,14280.0,0.0030829514211071704,0.0008578881944079697,3.593651761619964
中午12:50,下午班機,TSA,NRT,CX 450,19695.0,23808.549075169616,19695.0,-0.20886260853869593,0.0004061944656004062,-514.193634396202
上午10:15,早晨班機,TSA,NRT,JX 802,24250.25,25227.702718491026,24972.0,-0.04030691306238186,0.09233925423449242,-0.43650897331295113
上午9:00,早晨班機,TSA,HND,CI 220,27298.5,27523.491592591497,25840.0,-0.008241903129897154,0.1344213051999194,-0.061313964461506325
下午5:00,下午班機,TSA,HKG,CX 421,14283.5,14357.101832729137,14284.0,-0.005152926994723753,0.0003850596842510589,-13.382151405297588
上午9:30,早晨班機,TSA,ICN,BR 154,20183.75,20178.26204125272,20185.5,0.000271899857423856,0.0008298755186721991,0.3276393281957465
清晨7:00,早晨班機,TSA,ICN,CI 833,31559.0,29029.929225786607,31562.0,0.08013786159933435,0.15935232421813111,0.5028973502114521
清晨7:00,早晨班機,TSA,ICN,CI 833,26733.5,23051.007617736377,28977.0,0.13774823282636478,0.30944320796005015,0.44514867117118434
上午10:50,早晨班機,TSA,HKG,CI 909,13793.75,13705.212408333267,13945.0,0.006418674520469968,0.04297236067059357,0.14936751019271635
