出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格剩餘天數_log,Region,經濟指標,機場指標,competing_flights,y_test_log,y_pred_log,residual_log,預測價格,實際價格,相對誤差 (%)
2025-01-25,星期六,凌晨1:30,凌晨班機,TPE,清晨6:15,早晨抵達,SIN,酷航,4,直達航班。,Non-stop,4 小時 45 分鐘,285,No,0,Boeing 787,1,TR 897,經濟艙,1,14288,14288,14288.0,0.0,14288.0,90,63,9.57,9.57,0.0,9.57,4.51,新加坡,2.1585612,1.0416285,2,9.57,8.742043,0.827957458496094,6260.6704,14328.416324133817,56.305914983701314
2025-01-25,星期六,上午9:50,上午班機,TPE,中午12:05,下午抵達,HKG,國泰航空,3,直達航班。,Non-stop,2 小時 15 分鐘,135,No,0,Airbus A350,1,CX 499,經濟艙,1,16602,14411,15760.0,3951454.89,15737.5,91,85,9.72,9.58,15.19,9.67,4.52,香港,0.6313249,-0.229905,12,9.72,8.868668,0.8513323974609381,7105.807,16647.244729445592,57.3154161881364
2025-01-20,星期一,下午2:35,下午班機,TPE,下午6:40,晚間抵達,NRT,中華航空,2,直達航班。,Non-stop,3 小時 5 分鐘,185,No,1,Airbus A321neo,0,CI 108,經濟艙,1,24798,13828,22301.0,50137197.86,29982.0,89,76,10.12,9.53,17.73,10.01,4.5,日本,-0.84717,-1.180738,17,10.12,9.260785,0.8592148971557609,10517.388,24834.770835065363,57.65055467931875
2025-01-30,星期四,上午10:15,上午班機,TPE,下午2:15,下午抵達,NRT,星宇航空,5,直達航班。,Non-stop,3 小時,180,No,1,Airbus A350,1,JX 802,經濟艙,1,60113,21264,40864.0,1315530950.76,40859.25,34,87,11.0,9.96,21.0,10.62,3.56,日本,-0.84717,-1.180738,7,11.0,10.094359,0.9056406021118164,24206.086,59874.14171519782,59.571719536890186
2025-01-25,星期六,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,295,No,0,Boeing 777,1,BR 215,經濟艙,1,26694,6257,33304.0,78364343.64,25370.25,91,42,10.19,8.74,18.18,10.41,4.52,新加坡,2.1585612,1.0416285,2,10.19,9.281411,0.9085888290405268,10736.572,26635.49490018122,59.690734841379076
2025-02-14,星期五,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,240,No,1,Airbus A350,1,CI 831,經濟艙,0,16406,7586,15522.0,20400668.58,14146.25,91,91,9.71,8.93,16.83,9.65,4.52,泰國,-1.882734,0.4139873,4,9.71,8.790914,0.9190864181518563,6574.2354,16481.601876769324,60.111672392543184
2025-01-29,星期三,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,1,8270,4511,8954.0,3023143.61,6852.25,28,91,9.02,8.41,14.92,9.1,3.37,香港,0.6313249,-0.229905,14,9.02,8.064594,0.9554057312011714,3179.8657,8266.77708126167,61.53439615706995
2025-02-05,星期三,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,0,8965,4869,6934.0,14293933.45,7612.0,64,90,9.1,8.49,16.48,8.84,4.17,香港,0.6313249,-0.229905,20,9.1,8.139528,0.9604717254638668,3427.3008,8955.292703482508,61.72876873229167
2025-02-02,星期日,晚上8:25,晚間班機,TPE,晚上10:25,晚間抵達,HKG,香港航空,6,直達航班。,Non-stop,2 小時,120,No,0,Airbus A321,0,HX 285,經濟艙,1,7958,5676,8154.0,876386.92,7559.25,36,73,8.98,8.64,13.68,9.01,3.61,香港,0.6313249,-0.229905,13,8.98,7.9949093,0.985090713500977,2965.8213,7942.632115502687,62.65946545259582
2025-01-25,星期六,下午2:30,下午班機,TPE,下午4:30,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,0,Airbus A330,1,CI 915,經濟艙,1,11813,7224,11354.0,764092.29,12231.5,91,91,9.38,8.89,13.55,9.34,4.52,香港,0.6313249,-0.229905,24,9.38,8.286155,1.0938452529907234,3968.5447,11849.014754185644,66.50738681600093
2025-02-02,星期日,下午6:10,晚間班機,TPE,晚上8:10,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,0,Airbus A321neo,0,CI 923,經濟艙,1,13219,8982,13477.0,897949.93,13400.0,73,91,9.49,9.1,13.71,9.51,4.3,香港,0.6313249,-0.229905,13,9.49,8.283632,1.2063677215576174,3958.5469,13226.795326641039,70.07176132054597
