出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格剩餘天數_log,Region,經濟指標,機場指標,competing_flights,y_test_log,y_pred_log,residual_log,預測價格,實際價格,相對誤差 (%)
2025-02-03,星期一,下午4:55,下午班機,TPE,晚上7:00,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時 5 分鐘,125,No,1,Airbus A321neo,0,CI 919,經濟艙,0,10469,4399,11228.0,7069867.07,12098.5,89,91,9.26,8.39,15.77,9.33,4.5,香港,0.6313249,-0.229905,17,9.26,8.399345952380942,0.8606540476190574,4444.159105253694,10509.133340450364,57.71145953446203
2025-02-27,星期四,清晨7:15,早晨班機,TPE,上午9:15,上午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,1,Boeing 737,0,CI 601,經濟艙,0,10336,4370,13091.0,14590309.27,11321.75,82,88,9.24,8.38,16.5,9.48,4.42,香港,0.6313249,-0.229905,7,9.24,8.373775965722874,0.8662240342771259,4331.962561293614,10301.03855791324,57.946351361185734
2025-02-14,星期五,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,中華航空,2,直達航班。,Non-stop,4 小時,240,No,1,Airbus A350,1,CI 831,經濟艙,0,16406,7586,15522.0,20400668.58,14146.25,91,91,9.71,8.93,16.83,9.65,4.52,泰國,-1.882734,0.4139873,4,9.71,8.803744701487023,0.9062552985129777,6659.13384309253,16481.601876769324,59.59656171237505
2025-01-25,星期六,上午9:35,上午班機,TPE,下午2:30,下午抵達,SIN,長榮航空,1,直達航班。,Non-stop,4 小時 55 分鐘,295,No,0,Boeing 777,1,BR 215,經濟艙,1,26694,6257,33304.0,78364343.64,25370.25,91,42,10.19,8.74,18.18,10.41,4.52,新加坡,2.1585612,1.0416285,2,10.19,9.275105447330445,0.9148945526695549,10669.08351874171,26635.49490018122,59.94411382733826
2025-01-30,星期四,上午10:15,上午班機,TPE,下午2:15,下午抵達,NRT,星宇航空,5,直達航班。,Non-stop,3 小時,180,No,1,Airbus A350,1,JX 802,經濟艙,1,60113,21264,40864.0,1315530950.76,40859.25,34,87,11.0,9.96,21.0,10.62,3.56,日本,-0.84717,-1.180738,7,11.0,10.084782777636672,0.9152172223633279,23975.38067531582,59874.14171519782,59.95703656286372
2025-02-05,星期三,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,0,8965,4869,6934.0,14293933.45,7612.0,64,90,9.1,8.49,16.48,8.84,4.17,香港,0.6313249,-0.229905,20,9.1,8.17055208333334,0.9294479166666605,3535.295202509696,8955.292703482508,60.52284029605307
2025-01-25,星期六,中午12:50,下午班機,TPE,下午4:50,下午抵達,NRT,國泰航空,3,直達航班。,Non-stop,3 小時,180,No,0,Boeing 777,1,CX 450,經濟艙,1,36488,19458,35467.0,98625228.91,26989.75,84,52,10.5,9.88,18.41,10.48,4.44,日本,-0.84717,-1.180738,18,10.5,9.547653333333328,0.9523466666666724,14011.775095416468,36315.502674246636,61.41654647850158
2025-02-02,星期日,晚上8:25,晚間班機,TPE,晚上10:25,晚間抵達,HKG,香港航空,6,直達航班。,Non-stop,2 小時,120,No,0,Airbus A321,0,HX 285,經濟艙,1,7958,5676,8154.0,876386.92,7559.25,36,73,8.98,8.64,13.68,9.01,3.61,香港,0.6313249,-0.229905,13,8.98,7.987059156823567,0.9929408431764335,2942.630407689943,7942.632115502687,62.951445252683655
2025-01-25,星期六,下午2:30,下午班機,TPE,下午4:30,下午抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,0,Airbus A330,1,CI 915,經濟艙,1,11813,7224,11354.0,764092.29,12231.5,91,91,9.38,8.89,13.55,9.34,4.52,香港,0.6313249,-0.229905,24,9.38,8.378488571428557,1.001511428571444,4352.4255719558605,11849.014754185644,63.26761623435084
2025-01-29,星期三,中午12:25,下午班機,TPE,下午2:20,下午抵達,HKG,長榮航空,1,直達航班。,Non-stop,1 小時 55 分鐘,115,No,1,Airbus A321,0,BR 869,經濟艙,1,8270,4511,8954.0,3023143.61,6852.25,28,91,9.02,8.41,14.92,9.1,3.37,香港,0.6313249,-0.229905,14,9.02,7.963250000000004,1.0567499999999956,2873.3963318870965,8266.77708126167,65.2416376582812
2025-02-02,星期日,下午6:10,晚間班機,TPE,晚上8:10,晚間抵達,HKG,中華航空,2,直達航班。,Non-stop,2 小時,120,No,0,Airbus A321neo,0,CI 923,經濟艙,1,13219,8982,13477.0,897949.93,13400.0,73,91,9.49,9.1,13.71,9.51,4.3,香港,0.6313249,-0.229905,13,9.49,8.273928534798527,1.2160714652014732,3920.3198929467303,13226.795326641039,70.36077299048748
